epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94692,2.05112,3.169,1.75553,0.65142,0.07957,0.11147,0.05959,1.5101,2.47445,1.41935,0.000329897,0.000329897,0.000329897
2,17.3378,1.61256,2.04159,1.39844,0.40107,0.39876,0.25136,0.14579,1.30088,1.65512,1.32258,0.000656664,0.000656664,0.000656664
3,25.3454,1.54503,1.82979,1.37265,0.4186,0.39362,0.25393,0.12791,1.44236,1.91129,1.3319,0.000976832,0.000976832,0.000976832
4,34.5416,1.49089,1.75485,1.34262,0.26364,0.40334,0.24432,0.11648,1.72767,2.04448,1.50532,0.0009703,0.0009703,0.0009703
5,43.5575,1.4455,1.6518,1.31504,0.47411,0.39239,0.32493,0.18925,1.40257,1.57584,1.37044,0.0009604,0.0009604,0.0009604
6,52.4084,1.41836,1.60227,1.30925,0.49307,0.4153,0.32799,0.1514,1.6159,1.68516,1.45982,0.0009505,0.0009505,0.0009505
7,61.202,1.39968,1.55794,1.29795,0.50061,0.44099,0.34438,0.18541,1.31623,1.44641,1.29047,0.0009406,0.0009406,0.0009406
8,70.2303,1.37465,1.53903,1.28006,0.33626,0.40694,0.33591,0.16646,1.40419,1.6355,1.35656,0.0009307,0.0009307,0.0009307
9,79.1178,1.36486,1.47037,1.27615,0.31064,0.48667,0.33725,0.16101,1.42326,1.42708,1.35076,0.0009208,0.0009208,0.0009208
10,87.8864,1.36618,1.46315,1.29007,0.31395,0.50421,0.35853,0.21299,1.30821,1.4685,1.31401,0.0009109,0.0009109,0.0009109
11,96.7502,1.32315,1.43628,1.26199,0.31346,0.51844,0.36111,0.18364,1.42034,1.44275,1.39886,0.000901,0.000901,0.000901
12,105.56,1.30373,1.37414,1.2356,0.44926,0.46305,0.33068,0.21043,1.22347,1.39301,1.28149,0.0008911,0.0008911,0.0008911
13,114.282,1.33432,1.38547,1.26263,0.47612,0.49947,0.3391,0.14826,1.52312,1.30762,1.48888,0.0008812,0.0008812,0.0008812
14,122.962,1.29411,1.3361,1.23524,0.52838,0.45602,0.3757,0.20293,1.42013,1.32154,1.37009,0.0008713,0.0008713,0.0008713
15,131.843,1.27652,1.31032,1.23164,0.36549,0.51825,0.39852,0.25603,1.14203,1.26892,1.21728,0.0008614,0.0008614,0.0008614
16,140.58,1.25569,1.30008,1.21718,0.33626,0.48269,0.38639,0.17646,1.61702,1.42123,1.55419,0.0008515,0.0008515,0.0008515
17,149.23,1.27115,1.28101,1.22074,0.35239,0.53839,0.43475,0.24851,1.24127,1.30016,1.30984,0.0008416,0.0008416,0.0008416
18,157.959,1.2962,1.29054,1.24695,0.42387,0.52283,0.44606,0.28701,1.1353,1.18087,1.22027,0.0008317,0.0008317,0.0008317
19,166.681,1.28417,1.25557,1.23894,0.41972,0.49651,0.43019,0.21983,1.40439,1.27997,1.39475,0.0008218,0.0008218,0.0008218
20,175.408,1.26234,1.24009,1.2267,0.42764,0.50262,0.48508,0.31736,1.14231,1.15194,1.22455,0.0008119,0.0008119,0.0008119
21,184.234,1.21823,1.19522,1.19491,0.35735,0.54927,0.41006,0.22072,1.36617,1.24569,1.36032,0.000802,0.000802,0.000802
22,193.148,1.26422,1.20069,1.22284,0.51659,0.48461,0.49152,0.29099,1.33334,1.1769,1.34794,0.0007921,0.0007921,0.0007921
23,201.995,1.22465,1.21354,1.1938,0.5048,0.51357,0.49758,0.25139,1.40035,1.29379,1.39134,0.0007822,0.0007822,0.0007822
24,210.714,1.25657,1.19862,1.21835,0.41684,0.56856,0.49789,0.25967,1.38324,1.1589,1.38266,0.0007723,0.0007723,0.0007723
25,219.458,1.20646,1.13499,1.19251,0.48853,0.54085,0.54464,0.29161,1.32515,1.13612,1.33652,0.0007624,0.0007624,0.0007624
26,228.198,1.21888,1.14918,1.19835,0.56198,0.57225,0.57458,0.38886,1.06521,1.02977,1.18972,0.0007525,0.0007525,0.0007525
27,236.956,1.22454,1.14697,1.19382,0.46225,0.5703,0.51997,0.33481,1.11092,1.11043,1.22196,0.0007426,0.0007426,0.0007426
28,245.838,1.20346,1.13192,1.19001,0.49142,0.58589,0.56581,0.37908,1.09041,1.03413,1.19811,0.0007327,0.0007327,0.0007327
29,254.597,1.19167,1.11628,1.19205,0.44006,0.60763,0.54747,0.36267,1.15325,1.06305,1.23038,0.0007228,0.0007228,0.0007228
30,263.232,1.18676,1.12672,1.17881,0.58995,0.5519,0.57183,0.33699,1.23908,1.06788,1.28071,0.0007129,0.0007129,0.0007129
31,271.904,1.23283,1.13869,1.20535,0.50142,0.58011,0.57325,0.38403,1.08773,1.03817,1.19349,0.000703,0.000703,0.000703
32,280.688,1.20631,1.10953,1.18633,0.55394,0.59256,0.59718,0.40388,1.08659,1.01288,1.19118,0.0006931,0.0006931,0.0006931
33,289.519,1.18557,1.12097,1.18852,0.43278,0.62037,0.53481,0.28399,1.44599,1.158,1.43979,0.0006832,0.0006832,0.0006832
34,298.25,1.19133,1.08779,1.18736,0.52541,0.56065,0.57811,0.36309,1.13035,1.05214,1.22115,0.0006733,0.0006733,0.0006733
35,306.528,1.19549,1.07031,1.18578,0.57492,0.63649,0.6321,0.42791,1.05226,0.9783,1.16936,0.0006634,0.0006634,0.0006634
36,314.05,1.16904,1.06559,1.17115,0.61172,0.56606,0.6016,0.36798,1.1958,1.0166,1.25595,0.0006535,0.0006535,0.0006535
37,321.574,1.14274,1.05938,1.16675,0.52724,0.63969,0.60696,0.3624,1.24408,1.05633,1.28752,0.0006436,0.0006436,0.0006436
38,329.052,1.20567,1.06065,1.19516,0.60624,0.58365,0.63723,0.41579,1.10301,0.98255,1.20325,0.0006337,0.0006337,0.0006337
39,336.547,1.15197,1.04215,1.16059,0.51152,0.58619,0.59015,0.39573,1.11361,0.97409,1.2037,0.0006238,0.0006238,0.0006238
40,344.063,1.15656,1.05981,1.17124,0.52411,0.60942,0.59009,0.38225,1.13983,0.96627,1.22298,0.0006139,0.0006139,0.0006139
41,351.688,1.14989,1.02167,1.1558,0.52396,0.63525,0.60262,0.35783,1.2005,0.97889,1.27319,0.000604,0.000604,0.000604
42,359.212,1.17427,1.03868,1.1709,0.52797,0.59979,0.59403,0.36154,1.25914,1.035,1.3004,0.0005941,0.0005941,0.0005941
43,366.682,1.17955,1.01963,1.17362,0.57369,0.57489,0.5946,0.38578,1.20054,1.03686,1.25787,0.0005842,0.0005842,0.0005842
44,374.171,1.13719,1.00275,1.15644,0.59395,0.59711,0.62833,0.4285,1.08964,0.98619,1.19514,0.0005743,0.0005743,0.0005743
45,381.699,1.14103,0.99799,1.15424,0.63434,0.61002,0.63938,0.40636,1.15788,0.94073,1.24006,0.0005644,0.0005644,0.0005644
46,389.275,1.13674,0.9989,1.15802,0.51157,0.68468,0.6316,0.41444,1.09534,0.95395,1.20839,0.0005545,0.0005545,0.0005545
47,396.798,1.17451,0.98594,1.17473,0.61248,0.65705,0.65133,0.43145,1.09071,0.91801,1.20083,0.0005446,0.0005446,0.0005446
48,404.403,1.14584,0.99148,1.15586,0.58161,0.6743,0.6722,0.46201,1.06065,0.92848,1.18723,0.0005347,0.0005347,0.0005347
49,411.913,1.15384,0.98153,1.16681,0.62717,0.64959,0.68665,0.45549,1.08778,0.91007,1.19723,0.0005248,0.0005248,0.0005248
50,419.453,1.12545,0.9775,1.14724,0.67283,0.61941,0.66464,0.43816,1.09438,0.92153,1.19568,0.0005149,0.0005149,0.0005149
51,427.001,1.12739,0.97532,1.14443,0.61141,0.65254,0.66866,0.43146,1.16505,0.95612,1.24137,0.000505,0.000505,0.000505
52,434.496,1.11804,0.96104,1.14692,0.64738,0.63542,0.68002,0.44909,1.11671,0.92909,1.20979,0.0004951,0.0004951,0.0004951
53,442.028,1.13138,0.97109,1.14677,0.61189,0.65556,0.68624,0.44199,1.18279,0.91892,1.25488,0.0004852,0.0004852,0.0004852
54,449.628,1.09615,0.96621,1.13613,0.59224,0.65608,0.66285,0.41501,1.1727,0.92437,1.26084,0.0004753,0.0004753,0.0004753
55,457.121,1.12328,0.94723,1.15333,0.59194,0.6977,0.71093,0.46358,1.08242,0.88808,1.19126,0.0004654,0.0004654,0.0004654
56,464.667,1.11488,0.95282,1.13826,0.60805,0.62637,0.65544,0.4064,1.12232,0.8952,1.2182,0.0004555,0.0004555,0.0004555
57,472.166,1.09709,0.91372,1.14106,0.65465,0.67744,0.71295,0.46561,1.11861,0.88822,1.21437,0.0004456,0.0004456,0.0004456
58,479.653,1.10511,0.93186,1.13702,0.6496,0.64817,0.68217,0.45636,1.08516,0.88816,1.19339,0.0004357,0.0004357,0.0004357
59,487.085,1.09226,0.91564,1.13774,0.69615,0.67808,0.72834,0.51672,1.00906,0.84111,1.1518,0.0004258,0.0004258,0.0004258
60,494.682,1.07952,0.90812,1.12704,0.67223,0.61812,0.68753,0.45623,1.11326,0.87728,1.21283,0.0004159,0.0004159,0.0004159
61,502.18,1.10136,0.91416,1.13876,0.66786,0.6906,0.73197,0.46288,1.12157,0.86278,1.21803,0.000406,0.000406,0.000406
62,509.672,1.08293,0.92836,1.12224,0.65024,0.70482,0.7276,0.42751,1.254,0.91116,1.31231,0.0003961,0.0003961,0.0003961
63,517.191,1.08378,0.91586,1.12964,0.63285,0.70945,0.73652,0.51215,1.02266,0.85997,1.15623,0.0003862,0.0003862,0.0003862
64,524.67,1.06959,0.89236,1.12298,0.66807,0.69561,0.7357,0.49396,1.06831,0.85728,1.18772,0.0003763,0.0003763,0.0003763
65,532.187,1.07644,0.91241,1.12491,0.64026,0.69453,0.72419,0.45918,1.16549,0.87564,1.24254,0.0003664,0.0003664,0.0003664
66,539.639,1.064,0.89809,1.12054,0.68989,0.67639,0.7335,0.49502,1.06369,0.84663,1.18188,0.0003565,0.0003565,0.0003565
67,547.213,1.06516,0.87836,1.11279,0.67475,0.709,0.74091,0.47051,1.10481,0.85628,1.21172,0.0003466,0.0003466,0.0003466
