epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.039,2.11546,3.22268,1.75499,0.60394,0.1344,0.07871,0.03179,1.7252,2.82599,1.37855,0.000329897,0.000329897,0.000329897
2,321.626,1.63866,2.08035,1.38037,0.31485,0.37885,0.19295,0.0956,1.58382,2.28501,1.44373,0.000656664,0.000656664,0.000656664
3,462.994,1.52691,1.83681,1.33341,0.38287,0.35713,0.20963,0.11337,1.4232,2.19367,1.42661,0.000976832,0.000976832,0.000976832
4,600.82,1.4733,1.79101,1.3051,0.44741,0.35318,0.25089,0.13856,1.51963,2.02009,1.51334,0.0009703,0.0009703,0.0009703
5,739.992,1.47062,1.73614,1.30468,0.34311,0.44976,0.2865,0.14036,1.39721,1.70645,1.29183,0.0009604,0.0009604,0.0009604
6,878.148,1.42822,1.65162,1.28032,0.42328,0.41472,0.29829,0.15612,1.31524,1.72721,1.25027,0.0009505,0.0009505,0.0009505
7,1016.34,1.41081,1.65191,1.28472,0.37086,0.4078,0.25745,0.15151,1.26954,1.74601,1.26127,0.0009406,0.0009406,0.0009406
8,1155.52,1.40044,1.6018,1.25667,0.30344,0.52334,0.3356,0.18748,1.33517,1.74685,1.31481,0.0009307,0.0009307,0.0009307
9,1292.91,1.38557,1.52455,1.25082,0.48085,0.4317,0.33806,0.18299,1.3568,1.60219,1.30731,0.0009208,0.0009208,0.0009208
10,1429.77,1.38295,1.5362,1.25028,0.29408,0.46381,0.31432,0.17991,1.27663,1.67984,1.26419,0.0009109,0.0009109,0.0009109
11,1565.66,1.33422,1.50909,1.2307,0.47264,0.44879,0.34948,0.21217,1.28701,1.65723,1.30262,0.000901,0.000901,0.000901
12,1711.26,1.36641,1.48851,1.24786,0.41205,0.37181,0.21712,0.1167,1.80598,2.64892,1.7089,0.0008911,0.0008911,0.0008911
13,1847.35,1.33322,1.41552,1.22448,0.30175,0.44827,0.32306,0.13781,1.46741,1.73569,1.44136,0.0008812,0.0008812,0.0008812
14,1983.45,1.31284,1.38874,1.21196,0.52445,0.46735,0.40821,0.24411,1.23358,1.42638,1.23693,0.0008713,0.0008713,0.0008713
15,2119.43,1.29204,1.36157,1.21099,0.50692,0.46679,0.38158,0.19818,1.44471,1.49663,1.35451,0.0008614,0.0008614,0.0008614
16,2255.92,1.30022,1.36897,1.20806,0.29692,0.54898,0.38934,0.24679,1.21397,1.42457,1.22104,0.0008515,0.0008515,0.0008515
17,2391.81,1.28976,1.35984,1.2116,0.52467,0.43062,0.40243,0.19868,1.47845,1.43955,1.38157,0.0008416,0.0008416,0.0008416
18,2527.73,1.28392,1.3103,1.19363,0.32897,0.53959,0.42302,0.26194,1.19042,1.35546,1.20733,0.0008317,0.0008317,0.0008317
19,2663.42,1.26762,1.30358,1.19447,0.3263,0.47592,0.38052,0.18916,1.5143,1.47071,1.42623,0.0008218,0.0008218,0.0008218
20,2799.63,1.27349,1.28852,1.19812,0.36399,0.5037,0.42388,0.269,1.16976,1.3177,1.19288,0.0008119,0.0008119,0.0008119
