epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92492,2.06899,3.18956,1.77212,0.44293,0.17498,0.1121,0.05905,1.53737,2.52441,1.37515,0.000329897,0.000329897,0.000329897
2,17.2462,1.61653,2.06422,1.39549,0.1702,0.37529,0.20354,0.11273,1.43838,1.90709,1.32835,0.000656664,0.000656664,0.000656664
3,25.0755,1.53669,1.85122,1.35057,0.24316,0.35374,0.26095,0.13037,1.51882,1.86624,1.33354,0.000976832,0.000976832,0.000976832
4,32.649,1.45671,1.7256,1.31029,0.38027,0.37063,0.26225,0.15493,1.38483,1.77298,1.30401,0.0009703,0.0009703,0.0009703
5,40.3372,1.43471,1.65198,1.30452,0.2506,0.40568,0.26874,0.13545,1.53119,1.81445,1.50858,0.0009604,0.0009604,0.0009604
6,47.8929,1.44021,1.6719,1.3181,0.28076,0.44203,0.29858,0.14761,1.36849,1.60584,1.30417,0.0009505,0.0009505,0.0009505
7,55.4987,1.41783,1.56987,1.29813,0.49021,0.39496,0.32265,0.16007,1.4403,1.64926,1.32285,0.0009406,0.0009406,0.0009406
8,63.281,1.37664,1.52422,1.26728,0.30015,0.41657,0.3063,0.17678,1.33111,1.81102,1.30027,0.0009307,0.0009307,0.0009307
9,70.8582,1.35017,1.46556,1.25404,0.43973,0.43382,0.34958,0.20292,1.27505,1.43951,1.25141,0.0009208,0.0009208,0.0009208
10,78.3792,1.33389,1.40987,1.25358,0.48529,0.43752,0.33592,0.14406,1.56058,1.60789,1.43669,0.0009109,0.0009109,0.0009109
11,85.9703,1.33681,1.41068,1.26091,0.28695,0.40414,0.30617,0.10001,1.76311,1.70311,1.66164,0.000901,0.000901,0.000901
12,93.5152,1.33013,1.37158,1.24275,0.53016,0.44617,0.38752,0.21521,1.31282,1.43179,1.2982,0.0008911,0.0008911,0.0008911
13,101.134,1.31398,1.37248,1.24477,0.33865,0.47765,0.39161,0.19902,1.42883,1.43369,1.38332,0.0008812,0.0008812,0.0008812
14,108.763,1.28606,1.33802,1.22287,0.49313,0.45589,0.36643,0.17724,1.4098,1.37369,1.3534,0.0008713,0.0008713,0.0008713
15,116.24,1.27777,1.31608,1.22212,0.51154,0.45374,0.40547,0.25741,1.18861,1.37862,1.23035,0.0008614,0.0008614,0.0008614
16,123.722,1.23844,1.29373,1.20147,0.50921,0.43123,0.36142,0.17385,1.57565,1.51286,1.51568,0.0008515,0.0008515,0.0008515
17,131.249,1.24892,1.26843,1.20038,0.40103,0.45928,0.45788,0.26177,1.21925,1.27652,1.22805,0.0008416,0.0008416,0.0008416
18,138.787,1.26781,1.26893,1.21981,0.373,0.53293,0.41903,0.20504,1.38034,1.43646,1.38623,0.0008317,0.0008317,0.0008317
19,146.25,1.22621,1.22835,1.20115,0.57481,0.4585,0.44974,0.26163,1.27621,1.25245,1.28341,0.0008218,0.0008218,0.0008218
20,153.798,1.23062,1.21247,1.19683,0.32683,0.49543,0.38781,0.14463,1.65027,1.45922,1.57417,0.0008119,0.0008119,0.0008119
