epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87478,2.04839,3.18233,1.77456,0.63417,0.1372,0.12157,0.06753,1.4587,2.32487,1.39293,0.000329897,0.000329897,0.000329897
2,17.2012,1.63083,2.00055,1.43074,0.1719,0.32361,0.17949,0.09488,1.46192,1.91095,1.40889,0.000656664,0.000656664,0.000656664
3,25.1322,1.55711,1.86902,1.38201,0.19618,0.40049,0.20834,0.12175,1.32933,1.89607,1.31672,0.000976832,0.000976832,0.000976832
4,32.969,1.47692,1.70521,1.34421,0.44359,0.39532,0.28407,0.14574,1.44289,1.605,1.38944,0.0009703,0.0009703,0.0009703
5,40.6807,1.41549,1.62986,1.30737,0.25145,0.44019,0.26502,0.11786,1.57579,1.72505,1.47921,0.0009604,0.0009604,0.0009604
6,48.1626,1.39926,1.59881,1.2957,0.33807,0.39466,0.32358,0.16788,1.32018,1.60471,1.32967,0.0009505,0.0009505,0.0009505
7,55.8482,1.4014,1.55139,1.3007,0.4239,0.4136,0.28498,0.14708,1.37145,1.59839,1.33183,0.0009406,0.0009406,0.0009406
8,63.5352,1.37037,1.50685,1.28154,0.31365,0.44657,0.3221,0.18896,1.29933,1.4767,1.30248,0.0009307,0.0009307,0.0009307
9,71.1177,1.39688,1.51037,1.2908,0.46521,0.44338,0.33604,0.1598,1.52183,1.41813,1.42844,0.0009208,0.0009208,0.0009208
10,78.6491,1.3788,1.47351,1.2916,0.30007,0.48187,0.31031,0.17534,1.28054,1.46417,1.2826,0.0009109,0.0009109,0.0009109
11,86.2222,1.33695,1.41161,1.27606,0.27852,0.46246,0.29653,0.10781,1.71916,1.5708,1.65688,0.000901,0.000901,0.000901
12,93.7722,1.33943,1.39822,1.25973,0.32645,0.45965,0.33096,0.20579,1.19139,1.28128,1.2487,0.0008911,0.0008911,0.0008911
13,101.369,1.31076,1.37294,1.25119,0.50399,0.44048,0.37222,0.16572,1.48828,1.43842,1.43463,0.0008812,0.0008812,0.0008812
14,109.032,1.28698,1.30479,1.23955,0.37674,0.50567,0.39935,0.22484,1.33619,1.29805,1.33912,0.0008713,0.0008713,0.0008713
