epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2687,2.07014,3.19616,1.77852,0.6144,0.10928,0.09698,0.05088,1.52203,2.53598,1.42099,0.000329897,0.000329897,0.000329897
2,29.751,1.60398,2.01252,1.39904,0.32717,0.35936,0.20516,0.11113,1.42629,1.87361,1.35218,0.000656664,0.000656664,0.000656664
3,38.8648,1.53912,1.84785,1.3608,0.43033,0.35707,0.26422,0.14301,1.36299,1.84631,1.32853,0.000976832,0.000976832,0.000976832
4,47.7145,1.47311,1.72192,1.32551,0.20989,0.37931,0.25408,0.15005,1.44029,1.77864,1.38801,0.0009703,0.0009703,0.0009703
5,56.8904,1.42596,1.62766,1.29875,0.35914,0.31355,0.21166,0.06205,1.83567,1.78524,1.68514,0.0009604,0.0009604,0.0009604
6,65.7487,1.40643,1.58703,1.29347,0.42313,0.44762,0.32101,0.19137,1.27074,1.51656,1.26677,0.0009505,0.0009505,0.0009505
7,74.5677,1.40194,1.55762,1.28903,0.47426,0.45513,0.33072,0.14404,1.60556,1.63773,1.51335,0.0009406,0.0009406,0.0009406
8,83.4782,1.36254,1.51436,1.26962,0.25984,0.48211,0.31924,0.14012,1.58046,1.60581,1.47009,0.0009307,0.0009307,0.0009307
9,92.3192,1.38662,1.46325,1.28041,0.426,0.45236,0.3436,0.1382,1.4351,1.53306,1.37952,0.0009208,0.0009208,0.0009208
10,100.973,1.35006,1.4576,1.27159,0.31588,0.50412,0.3533,0.2217,1.21075,1.35278,1.24221,0.0009109,0.0009109,0.0009109
11,109.739,1.32637,1.42249,1.25882,0.41628,0.38454,0.2945,0.09274,1.76373,1.62817,1.63461,0.000901,0.000901,0.000901
12,118.445,1.32023,1.37187,1.23873,0.45827,0.43319,0.38487,0.21416,1.26528,1.3226,1.2725,0.0008911,0.0008911,0.0008911
13,127.147,1.32174,1.38162,1.25554,0.59847,0.37332,0.30886,0.18227,1.35426,1.54174,1.3574,0.0008812,0.0008812,0.0008812
14,135.75,1.27689,1.32951,1.2275,0.30995,0.52336,0.39777,0.24745,1.16657,1.26307,1.21283,0.0008713,0.0008713,0.0008713
15,144.676,1.27024,1.34267,1.22115,0.30228,0.44735,0.34143,0.15345,1.46073,1.39367,1.38588,0.0008614,0.0008614,0.0008614
16,153.277,1.26689,1.27868,1.21344,0.28574,0.48595,0.36443,0.16419,1.47321,1.26014,1.44052,0.0008515,0.0008515,0.0008515
17,161.967,1.28012,1.28809,1.22413,0.33798,0.5674,0.4106,0.26168,1.17082,1.21965,1.21254,0.0008416,0.0008416,0.0008416
18,170.657,1.29383,1.30283,1.23659,0.33312,0.54851,0.39591,0.21816,1.21733,1.2569,1.24029,0.0008317,0.0008317,0.0008317
19,179.248,1.25566,1.25133,1.22056,0.31404,0.55463,0.38217,0.19158,1.44424,1.24768,1.40381,0.0008218,0.0008218,0.0008218
20,187.863,1.25245,1.24479,1.21397,0.39263,0.49277,0.43028,0.24282,1.31152,1.19689,1.30472,0.0008119,0.0008119,0.0008119
21,196.74,1.23021,1.19157,1.19847,0.3318,0.57314,0.41493,0.21657,1.33737,1.29005,1.32001,0.000802,0.000802,0.000802
22,205.337,1.24116,1.19113,1.21289,0.42148,0.57663,0.49176,0.27603,1.29702,1.18311,1.28977,0.0007921,0.0007921,0.0007921
23,213.982,1.25282,1.19161,1.2071,0.30297,0.58934,0.42938,0.28841,1.07629,1.10785,1.16606,0.0007822,0.0007822,0.0007822
24,222.654,1.26548,1.20332,1.22356,0.40754,0.59431,0.46836,0.25288,1.35578,1.21424,1.34331,0.0007723,0.0007723,0.0007723
25,231.302,1.2373,1.14868,1.20229,0.42662,0.62095,0.50631,0.28067,1.32397,1.13277,1.31341,0.0007624,0.0007624,0.0007624
26,239.974,1.21448,1.13814,1.19082,0.42852,0.55609,0.49981,0.31586,1.15782,1.11536,1.21393,0.0007525,0.0007525,0.0007525
27,248.806,1.21544,1.17579,1.19297,0.42737,0.55982,0.50251,0.30508,1.16187,1.12093,1.22576,0.0007426,0.0007426,0.0007426
28,257.425,1.20485,1.13952,1.19318,0.43302,0.55893,0.47956,0.28068,1.2501,1.09633,1.2789,0.0007327,0.0007327,0.0007327
29,266.085,1.18607,1.11996,1.18704,0.4264,0.59897,0.5048,0.33723,1.11567,1.05995,1.19876,0.0007228,0.0007228,0.0007228
30,274.71,1.17396,1.09624,1.176,0.46519,0.55098,0.50355,0.24342,1.41046,1.11425,1.39888,0.0007129,0.0007129,0.0007129
