epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;148.018;21.478;356.905;168.008;0.6211;0.15924;0.1013;0.03702;189.129;246.036;14.696;0.000329897;0.000329897;0.000329897
2;282.245;164.512;226.112;132.212;0.33574;0.25516;0.13699;0.05646;198.067;248.379;176.608;0.000656664;0.000656664;0.000656664
3;411.986;156.622;191.907;132.725;0.12946;0.24909;0.1489;0.07359;158.047;19.368;125.192;0.000976832;0.000976832;0.000976832
4;539.508;152.021;183.248;130.999;0.3464;0.3354;0.17955;0.06679;186.786;216.416;152.363;0.0009703;0.0009703;0.0009703
5;666.006;144.117;170.568;126.828;0.20267;0.4087;0.25015;0.11323;149.944;171.424;136.023;0.0009604;0.0009604;0.0009604
6;793.195;141.259;164.613;127.249;0.45354;0.47838;0.33523;0.17914;138.843;160.092;13.258;0.0009505;0.0009505;0.0009505
7;914.551;140.204;160.172;126.859;0.39716;0.41993;0.26267;0.14973;19.082;229.958;189.469;0.0009406;0.0009406;0.0009406
8;103.831;140.051;160.007;126.547;0.42638;0.40475;0.27676;0.13085;140.069;163.694;133.202;0.0009307;0.0009307;0.0009307
9;116.173;137.864;15.371;125.908;0.46625;0.45529;0.34129;0.18065;133.715;144.477;127.143;0.0009208;0.0009208;0.0009208
10;128.444;136.639;153.102;126.382;0.28904;0.5237;0.32408;0.16432;141.951;16.082;138.213;0.0009109;0.0009109;0.0009109
11;140.97;135.559;150.878;125.607;0.47165;0.4373;0.33795;0.15043;150.179;145.067;141.173;0.000901;0.000901;0.000901
12;153.22;138.416;148.457;12.649;0.29613;0.52479;0.34534;0.20583;117.252;133.314;121.557;0.0008911;0.0008911;0.0008911
13;165.535;133.361;146.284;124.888;0.47287;0.46567;0.36072;0.14637;158.559;141.654;150.547;0.0008812;0.0008812;0.0008812
14;177.714;128.533;138.014;121.933;0.52629;0.46002;0.38959;0.25953;109.392;124.162;11.771;0.0008713;0.0008713;0.0008713
15;189.849;13.265;139.985;124.397;0.36299;0.46332;0.37366;0.23788;118.628;134.071;122.998;0.0008614;0.0008614;0.0008614
16;202.235;126.598;139.426;121.164;0.49822;0.47043;0.38994;0.24476;118.496;129.234;124.145;0.0008515;0.0008515;0.0008515
17;214.603;12.758;135.074;121.091;0.32477;0.4415;0.35739;0.12686;193.005;15.983;174.772;0.0008416;0.0008416;0.0008416
18;226.812;128.755;136.936;123.307;0.50904;0.46728;0.40077;0.23141;11.873;124.908;126.407;0.0008317;0.0008317;0.0008317
19;239.493;126.653;130.784;121.773;0.31327;0.47585;0.35815;0.12372;171.915;143.395;16.147;0.0008218;0.0008218;0.0008218
20;251.685;12.612;129.828;122.375;0.32587;0.52136;0.37787;0.21544;120.436;125.987;126.934;0.0008119;0.0008119;0.0008119
21;264.316;12.598;127.193;120.879;0.28838;0.49256;0.36246;0.17763;143.567;136.884;139.686;0.000802;0.000802;0.000802
22;276.44;124.334;126.855;120.091;0.37064;0.50463;0.44018;0.26713;122.913;117.627;127.756;0.0007921;0.0007921;0.0007921
23;288.7;120.034;125.959;117.986;0.30574;0.47986;0.3876;0.17767;145.422;133.454;142.129;0.0007822;0.0007822;0.0007822
24;300.929;123.464;125.091;119.883;0.33708;0.51472;0.42272;0.28055;108.389;115.952;119.302;0.0007723;0.0007723;0.0007723
25;313.215;121.304;121.006;119.093;0.40097;0.46079;0.44242;0.26508;124.173;114.926;128.688;0.0007624;0.0007624;0.0007624
26;325.622;121.207;121.314;118.935;0.54628;0.4944;0.43278;0.2747;117.043;115.081;124.706;0.0007525;0.0007525;0.0007525
27;337.762;121.083;121.332;118.718;0.6019;0.45236;0.46838;0.3059;117.894;114.131;124.298;0.0007426;0.0007426;0.0007426
28;349.931;125.456;12.021;121.099;0.36334;0.53434;0.45298;0.25967;121.139;11.536;125.068;0.0007327;0.0007327;0.0007327
29;362.344;12.452;120.268;12.111;0.46743;0.52705;0.47573;0.27061;132.284;114.894;1.323;0.0007228;0.0007228;0.0007228
30;374.519;119.593;117.907;118.301;0.63958;0.47393;0.50267;0.34437;105.924;108.712;117.935;0.0007129;0.0007129;0.0007129
31;386.734;124.823;120.003;120.961;0.6192;0.46052;0.47248;0.31302;117.878;118.861;127.754;0.000703;0.000703;0.000703
32;399.065;121.833;118.885;118.751;0.36039;0.54819;0.47603;0.29646;1.156;108.503;123.352;0.0006931;0.0006931;0.0006931
33;411.272;120.755;121.346;119.794;0.39352;0.52902;0.47204;0.30634;11.313;113.189;122.277;0.0006832;0.0006832;0.0006832
34;423.545;120.061;117.625;119.281;0.39259;0.53414;0.45865;0.2013;163.458;123.579;158.632;0.0006733;0.0006733;0.0006733
35;435.751;116.538;113.249;117.082;0.43571;0.49539;0.44849;0.24962;13.129;116.232;134.281;0.0006634;0.0006634;0.0006634
36;447.962;121.157;114.106;119.095;0.41422;0.57688;0.50146;0.26384;132.943;1.092;135.557;0.0006535;0.0006535;0.0006535
37;460.31;115.341;114.349;117.589;0.52222;0.51665;0.45472;0.22326;148.297;121.074;149.764;0.0006436;0.0006436;0.0006436
38;472.503;119.692;110.805;11.915;0.44961;0.4812;0.47739;0.31153;112.689;109.886;121.712;0.0006337;0.0006337;0.0006337
39;484.639;116.897;112.202;116.976;0.63648;0.51113;0.52782;0.31536;118.627;102.974;125.575;0.0006238;0.0006238;0.0006238
40;496.898;117.933;113.675;118.398;0.47142;0.54311;0.49401;0.31753;110.741;104.149;121.604;0.0006139;0.0006139;0.0006139
41;509.107;116.247;109.708;116.557;0.6594;0.5038;0.53587;0.30386;127.638;104.683;131.746;0.000604;0.000604;0.000604
42;521.385;117.009;110.921;117.292;0.45473;0.50141;0.48258;0.28886;121.484;105.545;128.632;0.0005941;0.0005941;0.0005941
43;533.647;115.805;109.045;116.437;0.67105;0.48941;0.52456;0.34255;113.066;103.987;121.755;0.0005842;0.0005842;0.0005842
44;545.795;112.913;107.934;115.332;0.47104;0.56011;0.53812;0.3281;119.997;103.543;12.777;0.0005743;0.0005743;0.0005743
45;558.118;116.897;107.846;116.977;0.46206;0.57748;0.54991;0.30442;130.534;102.221;134.173;0.0005644;0.0005644;0.0005644
46;570.277;113.373;106.656;116.027;0.47612;0.57739;0.55098;0.34969;11.385;0.98233;122.987;0.0005545;0.0005545;0.0005545
47;582.475;114.421;104.917;116.045;0.53079;0.54918;0.5476;0.36259;108.537;103.281;119.565;0.0005446;0.0005446;0.0005446
48;594.608;113.085;106.418;115.451;0.56449;0.55394;0.57889;0.38785;108.503;0.97772;119.951;0.0005347;0.0005347;0.0005347
49;606.756;113.874;105.697;11.658;0.59161;0.52033;0.55767;0.33249;126.646;101.492;131.476;0.0005248;0.0005248;0.0005248
50;618.909;111.243;104.473;114.572;0.46858;0.58972;0.55643;0.30998;124.547;101.644;130.078;0.0005149;0.0005149;0.0005149
