epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;146.917;217.847;358.919;170.081;0.57626;0.1372;0.06764;0.02276;207.801;276.187;167.497;0.000329897;0.000329897;0.000329897
2;281.351;162.406;224.444;131.035;0.34601;0.28378;0.17789;0.09449;152.916;217.539;131.904;0.000656664;0.000656664;0.000656664
3;410.443;153.359;189.835;129.944;0.23172;0.3419;0.19353;0.10912;141.574;220.065;131.981;0.000976832;0.000976832;0.000976832
4;53.6;147.715;177.599;128.616;0.32669;0.29392;0.17616;0.06214;204.032;242.845;167.336;0.0009703;0.0009703;0.0009703
5;660.936;142.609;172.439;126.356;0.38015;0.39011;0.29151;0.16735;130.124;165.662;124.521;0.0009604;0.0009604;0.0009604
6;78.772;144.932;169.339;128.196;0.18741;0.34734;0.16448;0.06929;169.815;2.022;148.123;0.0009505;0.0009505;0.0009505
7;911.285;139.211;163.839;12.546;0.41831;0.40555;0.30603;0.13638;16.765;175.834;147.601;0.0009406;0.0009406;0.0009406
8;103.519;138.243;156.393;12.498;0.3131;0.47001;0.3369;0.1922;138.348;167.843;131.823;0.0009307;0.0009307;0.0009307
9;115.911;134.463;15.053;123.088;0.36186;0.41687;0.25593;0.11488;147.481;190.149;132.202;0.0009208;0.0009208;0.0009208
10;128.345;133.721;147.504;123.891;0.42744;0.38017;0.27639;0.08301;199.453;182.836;179.318;0.0009109;0.0009109;0.0009109
11;140.628;133.391;147.877;124.551;0.43136;0.47955;0.3346;0.14919;161.889;161.477;154.409;0.000901;0.000901;0.000901
12;152.789;135.865;147.944;124.754;0.49824;0.44781;0.36758;0.20458;13.059;147.781;12.701;0.0008911;0.0008911;0.0008911
13;165.29;133.682;144.722;12.413;0.42129;0.42388;0.32676;0.09953;188.825;175.784;173.974;0.0008812;0.0008812;0.0008812
14;178.063;129.773;139.632;121.805;0.47666;0.47951;0.35953;0.20904;127.512;144.029;125.532;0.0008713;0.0008713;0.0008713
15;190.503;131.738;138.549;122.613;0.46869;0.49714;0.39182;0.25337;11.513;135.947;12.068;0.0008614;0.0008614;0.0008614
16;202.797;126.259;135.034;120.587;0.47839;0.51624;0.39838;0.20264;15.369;139.967;14.705;0.0008515;0.0008515;0.0008515
17;215.075;128.712;135.189;121.746;0.47895;0.44602;0.35356;0.17197;14.568;159.321;135.529;0.0008416;0.0008416;0.0008416
18;227.235;12.904;135.613;1.227;0.55413;0.45851;0.42471;0.27377;11.567;128.922;1.225;0.0008317;0.0008317;0.0008317
19;239.76;125.436;129.826;120.796;0.45643;0.4485;0.33862;0.13843;177.505;153.209;167.641;0.0008218;0.0008218;0.0008218
20;251.916;123.347;126.816;120.004;0.54845;0.48494;0.44596;0.25254;126.237;130.555;129.811;0.0008119;0.0008119;0.0008119
21;264.203;124.434;12.359;120.754;0.52268;0.4484;0.41232;0.25534;128.723;128.005;129.907;0.000802;0.000802;0.000802
22;276.328;122.311;122.812;118.399;0.53654;0.46737;0.43354;0.28198;118.054;125.767;123.179;0.0007921;0.0007921;0.0007921
23;288.54;119.155;124.315;116.929;0.32415;0.60283;0.4316;0.22522;144.858;140.972;141.036;0.0007822;0.0007822;0.0007822
24;301.064;126.359;127.862;120.461;0.52027;0.5013;0.43402;0.24284;134.942;129.458;133.534;0.0007723;0.0007723;0.0007723
25;313.326;12.235;120.367;118.913;0.53465;0.486;0.44378;0.2371;148.373;131.173;142.244;0.0007624;0.0007624;0.0007624
26;325.652;119.557;120.025;117.654;0.55373;0.40948;0.41179;0.1873;166.214;141.963;157.234;0.0007525;0.0007525;0.0007525
27;337.769;12.366;12.258;119.202;0.37776;0.5611;0.47398;0.30875;112.908;124.139;121.059;0.0007426;0.0007426;0.0007426
28;349.853;124.573;121.788;12.063;0.54168;0.45359;0.42064;0.27803;113.553;1.281;120.979;0.0007327;0.0007327;0.0007327
29;362.306;120.476;118.321;118.461;0.61165;0.49229;0.48597;0.24052;152.642;123.325;144.649;0.0007228;0.0007228;0.0007228
30;374.368;117.298;116.691;116.698;0.61439;0.4462;0.47324;0.30177;120.678;119.989;126.524;0.0007129;0.0007129;0.0007129
31;386.533;126.096;117.244;120.446;0.59559;0.49006;0.49423;0.32185;115.233;11.747;122.284;0.000703;0.000703;0.000703
32;398.858;120.414;116.729;118.293;0.407;0.50944;0.42651;0.28518;118.282;125.505;124.467;0.0006931;0.0006931;0.0006931
33;411.072;125.145;119.247;121.203;0.53695;0.51561;0.51219;0.30368;117.679;12.778;12.409;0.0006832;0.0006832;0.0006832
34;423.576;120.817;115.457;11.913;0.5548;0.4845;0.46029;0.19775;15.782;129.034;150.679;0.0006733;0.0006733;0.0006733
