epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;145.706;216.715;357.894;169.681;0.4396;0.17284;0.10478;0.04812;174.353;273.332;136.977;0.000329897;0.000329897;0.000329897
2;280.361;163.852;226.051;131.567;0.33226;0.22968;0.17128;0.07539;164.471;225.719;1.438;0.000656664;0.000656664;0.000656664
3;412.994;15.811;198.551;133.888;0.17105;0.29233;0.15395;0.07682;165.764;234.848;154.485;0.000976832;0.000976832;0.000976832
4;540.494;152.879;182.188;135.377;0.21929;0.19195;0.04946;0.01516;224.514;249.682;219.131;0.0009703;0.0009703;0.0009703
5;669.083;146.351;174.048;13.033;0.24389;0.34255;0.24842;0.12215;143.577;185.319;137.187;0.0009604;0.0009604;0.0009604
6;793.904;144.996;170.611;129.724;0.14813;0.30277;0.16716;0.07749;1.621;200.886;150.232;0.0009505;0.0009505;0.0009505
7;918.751;14.132;162.734;128.727;0.41836;0.38352;0.28621;0.15779;140.959;180.288;134.024;0.0009406;0.0009406;0.0009406
8;104.491;138.712;158.405;125.892;0.28934;0.3672;0.27624;0.15751;194.665;229.083;194.689;0.0009307;0.0009307;0.0009307
9;117.054;138.067;153.916;127.185;0.39209;0.36814;0.26177;0.15235;127.446;168.783;125.027;0.0009208;0.0009208;0.0009208
10;129.455;135.346;150.423;12.619;0.47296;0.40045;0.31145;0.14117;162.591;163.685;153.762;0.0009109;0.0009109;0.0009109
11;141.862;134.864;147.336;12.623;0.4712;0.41232;0.33876;0.20495;124.318;145.287;126.248;0.000901;0.000901;0.000901
12;154.36;139.036;150.541;127.464;0.29421;0.42109;0.32516;0.18807;126.292;152.905;126.687;0.0008911;0.0008911;0.0008911
13;167.438;132.981;144.285;12.465;0.45502;0.41987;0.32534;0.14181;162.004;156.395;153.389;0.0008812;0.0008812;0.0008812
14;179.781;128.914;138.737;121.921;0.45611;0.44988;0.34684;0.22536;121.216;137.624;124.899;0.0008713;0.0008713;0.0008713
15;192.213;130.703;139.231;124.078;0.32534;0.48964;0.34866;0.19018;126.521;145.513;129.307;0.0008614;0.0008614;0.0008614
16;204.719;126.668;137.598;122.009;0.48891;0.44128;0.36209;0.20957;137.481;140.818;136.192;0.0008515;0.0008515;0.0008515
17;217.069;125.689;132.165;121.198;0.31118;0.47294;0.37398;0.24267;117.302;136.508;12.377;0.0008416;0.0008416;0.0008416
