epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2495,2.0264,3.18106,1.76967,0.74172,0.09405,0.09232,0.04518,1.55436,2.62126,1.5153,0.000329897,0.000329897,0.000329897
2,19.7223,1.6087,2.02441,1.41409,0.17578,0.29045,0.18692,0.10004,1.38318,1.95256,1.41078,0.000656664,0.000656664,0.000656664
3,28.8069,1.52822,1.81708,1.39034,0.29541,0.31779,0.24746,0.08757,1.63193,2.08537,1.64896,0.000976832,0.000976832,0.000976832
4,37.813,1.4747,1.74106,1.36243,0.38518,0.40685,0.27719,0.16468,1.33343,1.79541,1.36467,0.0009703,0.0009703,0.0009703
5,46.8298,1.41136,1.61614,1.31628,0.44137,0.40026,0.29059,0.15234,1.34319,1.67876,1.3781,0.0009604,0.0009604,0.0009604
6,55.6691,1.39975,1.55904,1.32276,0.47181,0.4104,0.34688,0.18504,1.34893,1.58995,1.38888,0.0009505,0.0009505,0.0009505
7,64.5493,1.37568,1.51502,1.31137,0.30924,0.42491,0.30873,0.16663,1.39323,1.55059,1.41634,0.0009406,0.0009406,0.0009406
8,73.5006,1.33606,1.47316,1.28805,0.29918,0.50288,0.34556,0.17173,1.52305,1.61207,1.50821,0.0009307,0.0009307,0.0009307
9,82.3443,1.36463,1.45779,1.30002,0.31242,0.45772,0.35327,0.19911,1.28678,1.48056,1.35693,0.0009208,0.0009208,0.0009208
10,91.1558,1.34029,1.41401,1.29701,0.30562,0.51705,0.34162,0.20041,1.24305,1.42408,1.31899,0.0009109,0.0009109,0.0009109
11,100.029,1.33028,1.40726,1.28847,0.29945,0.55994,0.35709,0.14073,1.72351,1.62089,1.67406,0.000901,0.000901,0.000901
12,109.166,1.33444,1.37581,1.2697,0.30063,0.50762,0.37364,0.21511,1.23854,1.34302,1.30263,0.0008911,0.0008911,0.0008911
13,118.074,1.34327,1.38181,1.29132,0.47348,0.48104,0.40902,0.16842,1.66534,1.4503,1.62619,0.0008812,0.0008812,0.0008812
14,126.962,1.26997,1.31129,1.24272,0.38758,0.5053,0.42537,0.25869,1.2711,1.36845,1.32753,0.0008713,0.0008713,0.0008713
15,136.021,1.27734,1.32133,1.25342,0.34627,0.48893,0.4246,0.26122,1.21167,1.31653,1.2856,0.0008614,0.0008614,0.0008614
16,144.817,1.24428,1.27594,1.23392,0.52291,0.48157,0.42345,0.27066,1.16194,1.27005,1.26028,0.0008515,0.0008515,0.0008515
17,153.824,1.28899,1.26887,1.24537,0.35191,0.52851,0.4185,0.26283,1.1998,1.2852,1.27993,0.0008416,0.0008416,0.0008416
18,162.724,1.28017,1.26989,1.26246,0.34176,0.45229,0.41213,0.21001,1.34533,1.3703,1.42598,0.0008317,0.0008317,0.0008317
19,171.499,1.28703,1.25019,1.25816,0.3622,0.47786,0.41405,0.24403,1.24845,1.26836,1.30733,0.0008218,0.0008218,0.0008218
20,180.434,1.24011,1.22176,1.23349,0.24295,0.2973,0.20635,0.0669,2.27077,1.68548,2.31489,0.0008119,0.0008119,0.0008119
21,189.537,1.23136,1.19532,1.22132,0.3799,0.48587,0.42662,0.22962,1.42635,1.336,1.41953,0.000802,0.000802,0.000802
22,198.478,1.25808,1.2017,1.23536,0.3013,0.50852,0.36778,0.14241,1.83246,1.41093,1.8144,0.0007921,0.0007921,0.0007921
23,207.44,1.24745,1.20342,1.21663,0.38548,0.55039,0.47055,0.31076,1.10868,1.19182,1.2274,0.0007822,0.0007822,0.0007822
24,216.387,1.20644,1.16808,1.2118,0.60288,0.47136,0.48603,0.24532,1.57775,1.29441,1.55301,0.0007723,0.0007723,0.0007723
25,225.277,1.26265,1.16912,1.24011,0.42118,0.53047,0.46778,0.24243,1.56573,1.23152,1.54208,0.0007624,0.0007624,0.0007624
26,234.146,1.23425,1.16503,1.22681,0.40248,0.47363,0.44773,0.29961,1.09701,1.23844,1.22641,0.0007525,0.0007525,0.0007525
27,243.095,1.23923,1.17367,1.2267,0.60329,0.50209,0.49976,0.29233,1.35349,1.19921,1.39225,0.0007426,0.0007426,0.0007426
28,252.065,1.2282,1.14687,1.22561,0.42215,0.54241,0.49623,0.3118,1.20711,1.14644,1.283,0.0007327,0.0007327,0.0007327
29,260.981,1.16745,1.12357,1.19801,0.38598,0.55744,0.44769,0.2586,1.33263,1.20872,1.37065,0.0007228,0.0007228,0.0007228
30,269.775,1.16578,1.09594,1.18833,0.43471,0.5373,0.49156,0.32541,1.11087,1.14958,1.23778,0.0007129,0.0007129,0.0007129
