epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.26946,2.07408,3.18661,1.78236,0.58939,0.113,0.11861,0.06636,1.44936,2.30054,1.37033,0.000329897,0.000329897,0.000329897
2,17.5256,1.60793,2.00466,1.41244,0.37319,0.31763,0.2368,0.13093,1.3532,1.70811,1.329,0.000656664,0.000656664,0.000656664
3,25.4616,1.53333,1.8291,1.38006,0.40517,0.28821,0.22558,0.10701,1.47392,1.92249,1.35429,0.000976832,0.000976832,0.000976832
4,33.2024,1.47451,1.73023,1.35642,0.44798,0.37563,0.30584,0.15829,1.33669,1.69441,1.33654,0.0009703,0.0009703,0.0009703
5,41.1423,1.45751,1.66286,1.33178,0.31932,0.28599,0.15727,0.05558,1.90436,2.24461,1.65695,0.0009604,0.0009604,0.0009604
6,48.7445,1.42907,1.63863,1.32772,0.50461,0.39067,0.35595,0.20775,1.29548,1.46005,1.30015,0.0009505,0.0009505,0.0009505
7,56.391,1.39694,1.59312,1.30514,0.37504,0.40242,0.26269,0.1227,1.53446,1.83548,1.42591,0.0009406,0.0009406,0.0009406
8,63.9893,1.36917,1.4975,1.29221,0.43909,0.44085,0.34541,0.16711,1.46983,1.52007,1.40192,0.0009307,0.0009307,0.0009307
9,71.6165,1.36577,1.48202,1.28697,0.3172,0.4102,0.304,0.17051,1.23607,1.64311,1.29258,0.0009208,0.0009208,0.0009208
10,79.169,1.40021,1.53021,1.30278,0.50634,0.44305,0.35975,0.16078,1.54949,1.46139,1.48202,0.0009109,0.0009109,0.0009109
11,86.7614,1.32845,1.39993,1.26618,0.45804,0.33225,0.27882,0.0867,1.78406,1.54932,1.70973,0.000901,0.000901,0.000901
12,94.318,1.33642,1.40106,1.27109,0.31854,0.50769,0.33861,0.18078,1.38562,1.40726,1.35183,0.0008911,0.0008911,0.0008911
13,101.935,1.32765,1.37578,1.26522,0.48783,0.45036,0.35799,0.1572,1.50066,1.41459,1.4349,0.0008812,0.0008812,0.0008812
14,109.438,1.31285,1.35434,1.24679,0.39342,0.4831,0.43079,0.27961,1.15011,1.20846,1.19622,0.0008713,0.0008713,0.0008713
15,117.172,1.29594,1.31769,1.24789,0.29295,0.45125,0.35074,0.15659,1.50455,1.34167,1.44371,0.0008614,0.0008614,0.0008614
16,124.663,1.28709,1.3142,1.25217,0.33134,0.54305,0.43443,0.27016,1.17255,1.24226,1.2483,0.0008515,0.0008515,0.0008515
17,132.216,1.29602,1.30102,1.24749,0.55022,0.48401,0.46112,0.26156,1.25145,1.20681,1.29143,0.0008416,0.0008416,0.0008416
18,139.831,1.27203,1.28278,1.23956,0.38915,0.47274,0.40716,0.19218,1.42689,1.28187,1.40663,0.0008317,0.0008317,0.0008317
19,147.417,1.23958,1.24703,1.22665,0.4896,0.47767,0.3771,0.13346,1.79367,1.41674,1.78205,0.0008218,0.0008218,0.0008218
20,154.953,1.25528,1.23788,1.22281,0.55657,0.44918,0.42473,0.25194,1.29805,1.31328,1.30833,0.0008119,0.0008119,0.0008119
21,162.593,1.24187,1.21316,1.22302,0.36629,0.61066,0.47425,0.30212,1.17336,1.13303,1.23382,0.000802,0.000802,0.000802
22,170.251,1.21642,1.18124,1.19786,0.55733,0.51678,0.4641,0.28246,1.24089,1.12304,1.28012,0.0007921,0.0007921,0.0007921
23,177.827,1.22333,1.17541,1.20238,0.60204,0.44703,0.45359,0.27936,1.28393,1.21017,1.29129,0.0007822,0.0007822,0.0007822
24,185.391,1.2332,1.18783,1.20784,0.32632,0.55904,0.41244,0.16392,1.66555,1.3842,1.61862,0.0007723,0.0007723,0.0007723
25,192.976,1.2223,1.18229,1.20164,0.629,0.48038,0.50573,0.28454,1.44282,1.1779,1.43884,0.0007624,0.0007624,0.0007624
26,200.492,1.23858,1.18037,1.22039,0.41074,0.57111,0.49432,0.32223,1.13049,1.08925,1.19866,0.0007525,0.0007525,0.0007525
27,208.143,1.19603,1.15842,1.17879,0.41555,0.45399,0.47759,0.21068,1.47284,1.29116,1.46362,0.0007426,0.0007426,0.0007426
