epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3315,2.05248,3.19031,1.76337,0.61251,0.14319,0.11308,0.05872,1.54441,2.49832,1.39291,0.000329897,0.000329897,0.000329897
2,21.5929,1.60889,1.99453,1.39405,0.37766,0.3318,0.21145,0.10755,1.45018,1.96523,1.35891,0.000656664,0.000656664,0.000656664
3,30.7482,1.5535,1.86446,1.37416,0.34942,0.32279,0.21278,0.10757,1.4364,2.05912,1.38618,0.000976832,0.000976832,0.000976832
4,39.5635,1.48501,1.72728,1.35696,0.44325,0.34424,0.27979,0.12608,1.62271,1.88911,1.4989,0.0009703,0.0009703,0.0009703
5,48.3323,1.44135,1.6636,1.32116,0.43036,0.39053,0.3277,0.18656,1.35106,1.66249,1.32362,0.0009604,0.0009604,0.0009604
6,57.1536,1.42692,1.63499,1.30909,0.40785,0.46549,0.32027,0.1611,1.40407,1.67272,1.32927,0.0009505,0.0009505,0.0009505
7,65.9128,1.40995,1.56166,1.31084,0.44135,0.42011,0.29149,0.15783,1.34276,1.65007,1.31844,0.0009406,0.0009406,0.0009406
8,74.6652,1.36633,1.50402,1.27356,0.37405,0.45777,0.36958,0.21897,1.27408,1.51557,1.27648,0.0009307,0.0009307,0.0009307
9,83.9237,1.35016,1.45756,1.26948,0.35199,0.35207,0.21722,0.08971,1.68917,1.75377,1.55794,0.0009208,0.0009208,0.0009208
10,92.5475,1.34117,1.42912,1.27267,0.48784,0.4253,0.38426,0.16864,1.56809,1.53526,1.48801,0.0009109,0.0009109,0.0009109
11,101.148,1.30986,1.40115,1.25,0.50817,0.40117,0.39129,0.19554,1.37029,1.4294,1.37082,0.000901,0.000901,0.000901
12,109.91,1.31245,1.36089,1.23925,0.53756,0.39516,0.4009,0.2329,1.26816,1.48905,1.28191,0.0008911,0.0008911,0.0008911
13,118.686,1.31123,1.37621,1.25143,0.4437,0.47319,0.37253,0.18486,1.34262,1.40855,1.34868,0.0008812,0.0008812,0.0008812
14,127.299,1.32738,1.38551,1.2555,0.53073,0.40622,0.42206,0.27358,1.12321,1.32737,1.21409,0.0008713,0.0008713,0.0008713
15,135.854,1.29484,1.33803,1.24264,0.56514,0.4344,0.43417,0.25014,1.25545,1.33816,1.2945,0.0008614,0.0008614,0.0008614
16,144.525,1.28234,1.29779,1.22956,0.45363,0.46687,0.37042,0.22216,1.24596,1.36871,1.25496,0.0008515,0.0008515,0.0008515
17,153.128,1.26497,1.25502,1.22046,0.39667,0.49583,0.44383,0.23007,1.41615,1.36702,1.39838,0.0008416,0.0008416,0.0008416
18,161.738,1.29256,1.30179,1.24444,0.43644,0.48033,0.4562,0.26267,1.24407,1.27283,1.28387,0.0008317,0.0008317,0.0008317
19,170.331,1.23543,1.23484,1.2114,0.48329,0.48724,0.43347,0.23988,1.3695,1.31653,1.36986,0.0008218,0.0008218,0.0008218
20,178.896,1.25378,1.21009,1.22276,0.51928,0.46591,0.46728,0.27163,1.25986,1.24166,1.29505,0.0008119,0.0008119,0.0008119
21,187.623,1.24681,1.19586,1.21229,0.40802,0.53989,0.46272,0.30043,1.1851,1.2227,1.25185,0.000802,0.000802,0.000802
22,196.425,1.24416,1.20306,1.21396,0.53499,0.49929,0.46448,0.23459,1.45102,1.27923,1.47588,0.0007921,0.0007921,0.0007921
23,205.087,1.22584,1.20106,1.19666,0.33645,0.51788,0.37921,0.1554,1.63554,1.66175,1.53646,0.0007822,0.0007822,0.0007822
24,213.621,1.24122,1.1965,1.21548,0.50249,0.47892,0.48317,0.271,1.35288,1.22197,1.35678,0.0007723,0.0007723,0.0007723
25,222.278,1.29685,1.18639,1.23511,0.36516,0.54117,0.45287,0.25349,1.27597,1.23847,1.30438,0.0007624,0.0007624,0.0007624
26,230.839,1.23652,1.16622,1.20535,0.5537,0.45697,0.46496,0.23284,1.52406,1.34134,1.51304,0.0007525,0.0007525,0.0007525
27,239.405,1.23758,1.18389,1.20473,0.41944,0.52729,0.48174,0.30023,1.15637,1.19412,1.23591,0.0007426,0.0007426,0.0007426
28,248.03,1.17771,1.13215,1.17817,0.58107,0.45703,0.50506,0.31602,1.16873,1.17775,1.23975,0.0007327,0.0007327,0.0007327
29,256.539,1.18475,1.12703,1.18847,0.44738,0.54052,0.48588,0.32792,1.0835,1.13914,1.18941,0.0007228,0.0007228,0.0007228
30,265.004,1.1851,1.12049,1.17958,0.55021,0.47125,0.48582,0.32661,1.09942,1.17563,1.19208,0.0007129,0.0007129,0.0007129
31,273.514,1.2129,1.10885,1.18917,0.46223,0.529,0.50639,0.31436,1.21128,1.1533,1.26457,0.000703,0.000703,0.000703
32,282.01,1.19731,1.10763,1.18464,0.51129,0.51644,0.50603,0.33272,1.13439,1.12817,1.21968,0.0006931,0.0006931,0.0006931
33,290.558,1.17,1.10813,1.18146,0.52265,0.5174,0.50308,0.29769,1.21084,1.15302,1.26231,0.0006832,0.0006832,0.0006832
34,299.05,1.18511,1.08787,1.18305,0.53238,0.5459,0.51394,0.2801,1.2912,1.19202,1.3301,0.0006733,0.0006733,0.0006733
35,307.66,1.17218,1.05909,1.17843,0.46581,0.55662,0.53195,0.33345,1.14567,1.0997,1.22471,0.0006634,0.0006634,0.0006634
36,316.2,1.17748,1.06467,1.17,0.46084,0.55254,0.53201,0.27221,1.40322,1.16811,1.42376,0.0006535,0.0006535,0.0006535
37,324.885,1.17011,1.07369,1.18047,0.56759,0.52731,0.53592,0.34491,1.13931,1.07572,1.22174,0.0006436,0.0006436,0.0006436
38,333.416,1.22476,1.07405,1.20958,0.44233,0.57195,0.54535,0.35169,1.12156,1.09493,1.21476,0.0006337,0.0006337,0.0006337
39,341.973,1.18421,1.0578,1.17199,0.51111,0.53244,0.54059,0.29482,1.31533,1.13579,1.35046,0.0006238,0.0006238,0.0006238
40,350.547,1.15976,1.04442,1.17122,0.42314,0.61036,0.53982,0.36086,1.07683,1.04887,1.18749,0.0006139,0.0006139,0.0006139
41,359.633,1.13567,1.03404,1.15137,0.47664,0.57989,0.56435,0.34953,1.1701,1.06659,1.23643,0.000604,0.000604,0.000604
42,368.587,1.13838,1.01664,1.15627,0.51324,0.53807,0.55489,0.36772,1.10541,1.11067,1.19592,0.0005941,0.0005941,0.0005941
43,377.43,1.14027,1.01289,1.15085,0.54692,0.57082,0.56825,0.34542,1.18383,1.0433,1.24835,0.0005842,0.0005842,0.0005842
44,386.259,1.15765,1.01404,1.16976,0.5077,0.54448,0.55621,0.30664,1.3642,1.09759,1.3935,0.0005743,0.0005743,0.0005743
45,395.142,1.15514,0.99468,1.1601,0.44885,0.61525,0.5674,0.30831,1.24116,1.04034,1.29248,0.0005644,0.0005644,0.0005644
46,403.922,1.11772,0.96898,1.14717,0.48079,0.59709,0.5677,0.37175,1.08306,1.02458,1.1895,0.0005545,0.0005545,0.0005545
47,412.82,1.16333,0.97704,1.16932,0.52971,0.55631,0.57368,0.37582,1.09193,1.03772,1.18952,0.0005446,0.0005446,0.0005446
48,421.561,1.12426,0.98763,1.14331,0.4696,0.63951,0.58601,0.38688,1.08591,1.01109,1.18897,0.0005347,0.0005347,0.0005347
49,430.069,1.12028,0.98033,1.14619,0.52546,0.56789,0.55543,0.35727,1.12574,1.03305,1.20874,0.0005248,0.0005248,0.0005248
50,438.628,1.09733,0.96076,1.13006,0.49826,0.59852,0.576,0.31001,1.34545,1.0669,1.37028,0.0005149,0.0005149,0.0005149
51,447.194,1.1038,0.95117,1.13495,0.54964,0.6159,0.58982,0.4046,1.04382,1.01156,1.16479,0.000505,0.000505,0.000505
52,455.832,1.12797,0.97086,1.14887,0.51807,0.58279,0.5904,0.37332,1.1615,1.03331,1.23582,0.0004951,0.0004951,0.0004951
53,464.368,1.12976,0.96914,1.14817,0.52158,0.67262,0.62479,0.40067,1.11559,0.9673,1.2079,0.0004852,0.0004852,0.0004852
54,473.047,1.10794,0.96819,1.1456,0.53861,0.60778,0.59551,0.37174,1.15137,1.00408,1.23081,0.0004753,0.0004753,0.0004753
55,481.524,1.09761,0.93475,1.13518,0.54586,0.60019,0.61179,0.39182,1.10771,0.9894,1.20108,0.0004654,0.0004654,0.0004654
56,490.045,1.10526,0.94,1.13399,0.56179,0.59999,0.61394,0.34177,1.27467,1.00505,1.32374,0.0004555,0.0004555,0.0004555
57,498.536,1.08714,0.93291,1.13168,0.58548,0.60107,0.63483,0.43259,1.04504,0.95964,1.16987,0.0004456,0.0004456,0.0004456
58,507.043,1.08596,0.90013,1.13118,0.55708,0.60916,0.62438,0.42194,1.04336,0.97181,1.16223,0.0004357,0.0004357,0.0004357
59,515.526,1.08975,0.91447,1.13256,0.54462,0.68023,0.65417,0.39912,1.17747,0.9651,1.24616,0.0004258,0.0004258,0.0004258
60,524.153,1.07187,0.90455,1.12142,0.55922,0.68139,0.63911,0.43475,1.04312,0.95436,1.16181,0.0004159,0.0004159,0.0004159
61,532.462,1.0887,0.91091,1.13107,0.57956,0.6447,0.63475,0.40494,1.10432,0.94856,1.19804,0.000406,0.000406,0.000406
62,539.894,1.10062,0.92111,1.13261,0.54817,0.63111,0.62162,0.30959,1.35813,1.03115,1.40459,0.0003961,0.0003961,0.0003961
63,547.216,1.07672,0.90591,1.1237,0.58578,0.63909,0.64673,0.41629,1.11225,0.95071,1.20361,0.0003862,0.0003862,0.0003862
64,554.588,1.06457,0.89946,1.11904,0.55236,0.61588,0.62018,0.36459,1.18954,0.9646,1.261,0.0003763,0.0003763,0.0003763
65,561.973,1.10442,0.9148,1.13981,0.58658,0.63965,0.65088,0.41798,1.12335,0.93067,1.21314,0.0003664,0.0003664,0.0003664
66,569.322,1.06396,0.87986,1.12218,0.57456,0.68569,0.66919,0.40453,1.20468,0.92886,1.26971,0.0003565,0.0003565,0.0003565
67,576.977,1.07293,0.88112,1.11982,0.60368,0.65056,0.67712,0.42421,1.12545,0.92884,1.21859,0.0003466,0.0003466,0.0003466
68,584.275,1.05217,0.87631,1.11262,0.60735,0.66578,0.68016,0.45372,1.06747,0.90584,1.18143,0.0003367,0.0003367,0.0003367
69,591.597,1.0446,0.87593,1.11004,0.63854,0.65786,0.67668,0.44014,1.09201,0.89714,1.19369,0.0003268,0.0003268,0.0003268
70,598.899,1.04252,0.87163,1.11637,0.61968,0.66005,0.67937,0.44499,1.06224,0.91184,1.1771,0.0003169,0.0003169,0.0003169
71,606.187,1.05021,0.86251,1.10497,0.59899,0.69409,0.69219,0.44695,1.09523,0.90821,1.19359,0.000307,0.000307,0.000307
72,613.52,1.05766,0.86354,1.10703,0.6077,0.67785,0.68354,0.42821,1.13774,0.89589,1.22638,0.0002971,0.0002971,0.0002971
73,620.931,1.03405,0.84902,1.09577,0.64392,0.68003,0.70092,0.47436,1.03755,0.89775,1.16328,0.0002872,0.0002872,0.0002872
74,628.276,1.0408,0.85328,1.10307,0.61966,0.69661,0.69984,0.45062,1.10158,0.88569,1.20083,0.0002773,0.0002773,0.0002773
75,635.585,1.03392,0.84401,1.09517,0.61432,0.70253,0.69514,0.38778,1.26428,0.93014,1.3194,0.0002674,0.0002674,0.0002674
76,642.861,1.02734,0.84059,1.09784,0.66447,0.64079,0.69425,0.44541,1.106,0.8819,1.20558,0.0002575,0.0002575,0.0002575
77,650.447,1.03811,0.82854,1.10518,0.64789,0.6641,0.7009,0.46596,1.0535,0.87019,1.16996,0.0002476,0.0002476,0.0002476
78,658.88,1.03919,0.8422,1.11363,0.6179,0.70607,0.71354,0.4546,1.12128,0.88433,1.21356,0.0002377,0.0002377,0.0002377
79,667.336,1.03217,0.83139,1.09628,0.66448,0.65657,0.71016,0.47235,1.06657,0.87121,1.18092,0.0002278,0.0002278,0.0002278
80,675.923,1.02066,0.82709,1.09124,0.65529,0.68279,0.71768,0.45699,1.0957,0.85641,1.19795,0.0002179,0.0002179,0.0002179
81,684.364,1.0301,0.82286,1.10388,0.68349,0.66114,0.71421,0.47109,1.06395,0.85689,1.17916,0.000208,0.000208,0.000208
82,692.81,1.01826,0.82706,1.09595,0.67144,0.69208,0.71978,0.47695,1.05963,0.85467,1.17595,0.0001981,0.0001981,0.0001981
83,701.26,1.00889,0.81543,1.08857,0.69181,0.65335,0.72247,0.45416,1.15508,0.86397,1.23627,0.0001882,0.0001882,0.0001882
84,709.751,1.01264,0.81503,1.08932,0.70614,0.64935,0.72298,0.47457,1.05846,0.83893,1.17732,0.0001783,0.0001783,0.0001783
85,718.262,1.02185,0.82398,1.0894,0.67874,0.67585,0.71989,0.41443,1.23125,0.87333,1.3047,0.0001684,0.0001684,0.0001684
86,726.894,1.03123,0.81355,1.09873,0.73324,0.66137,0.73713,0.47692,1.09763,0.83482,1.19754,0.0001585,0.0001585,0.0001585
87,735.412,1.01854,0.81362,1.08837,0.67218,0.71365,0.73152,0.48153,1.05612,0.82825,1.17086,0.0001486,0.0001486,0.0001486
88,744.156,1.00171,0.79879,1.08837,0.67734,0.69839,0.73635,0.48467,1.04307,0.8266,1.16544,0.0001387,0.0001387,0.0001387
89,752.861,1.02468,0.8077,1.09895,0.69374,0.66694,0.72327,0.4514,1.11251,0.84364,1.20939,0.0001288,0.0001288,0.0001288
90,761.298,1.01794,0.79274,1.08919,0.70831,0.65995,0.7269,0.4602,1.10442,0.83314,1.20504,0.0001189,0.0001189,0.0001189
91,770.107,0.99525,0.77714,1.12031,0.66981,0.7003,0.72758,0.45693,1.11745,0.84482,1.22,0.000109,0.000109,0.000109
92,778.504,0.97432,0.75594,1.11922,0.71133,0.66555,0.73021,0.48263,1.0677,0.83274,1.18345,9.91e-05,9.91e-05,9.91e-05
93,786.825,0.96631,0.74571,1.11116,0.70957,0.66481,0.73102,0.46475,1.09395,0.83176,1.20183,8.92e-05,8.92e-05,8.92e-05
94,795.586,0.96805,0.74108,1.11134,0.67057,0.68804,0.72476,0.46451,1.09528,0.83512,1.20393,7.93e-05,7.93e-05,7.93e-05
95,803.893,0.96006,0.73941,1.10628,0.67915,0.70731,0.73715,0.48541,1.05211,0.81134,1.17375,6.94e-05,6.94e-05,6.94e-05
96,812.243,0.96067,0.72828,1.10408,0.68503,0.68491,0.73255,0.48745,1.05068,0.81397,1.17377,5.95e-05,5.95e-05,5.95e-05
97,820.771,0.95503,0.73097,1.10626,0.69682,0.69365,0.74202,0.4926,1.04182,0.80677,1.16883,4.96e-05,4.96e-05,4.96e-05
98,829.374,0.9553,0.72907,1.11028,0.67515,0.71017,0.74328,0.47297,1.10274,0.81419,1.20891,3.97e-05,3.97e-05,3.97e-05
99,837.864,0.96778,0.72573,1.11329,0.70656,0.68515,0.74573,0.48792,1.06564,0.80533,1.183,2.98e-05,2.98e-05,2.98e-05
100,846.248,0.95237,0.72345,1.10632,0.68383,0.69436,0.74458,0.48698,1.05779,0.80407,1.17709,1.99e-05,1.99e-05,1.99e-05
