epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;149.621;215.911;355.956;167.513;0.6049;0.16134;0.09966;0.05075;162.016;257.961;126.118;0.000329897;0.000329897;0.000329897
2;285.824;165.816;221.942;131.937;0.42319;0.1273;0.10119;0.03712;198.382;264.772;163.462;0.000656664;0.000656664;0.000656664
3;414.976;157.433;192.612;130.572;0.37761;0.28314;0.15669;0.07854;214.111;25.221;184.889;0.000976832;0.000976832;0.000976832
4;53.902;14.607;176.787;127.872;0.43255;0.38288;0.26733;0.14226;141.315;177.097;133.411;0.0009703;0.0009703;0.0009703
5;663.732;144.352;170.574;125.945;0.35508;0.30355;0.17281;0.05857;191.487;21.818;156.262;0.0009604;0.0009604;0.0009604
6;785.358;139.457;163.647;124.228;0.47017;0.36587;0.28816;0.17372;137.089;172.328;130.591;0.0009505;0.0009505;0.0009505
7;91.515;142.357;162.002;126.868;0.39797;0.44275;0.27016;0.13622;136.191;171.409;130.209;0.0009406;0.0009406;0.0009406
8;104.115;138.654;157.277;1.241;0.30684;0.46624;0.33321;0.15656;155.206;160.838;143.689;0.0009307;0.0009307;0.0009307
9;116.545;136.567;153.879;123.238;0.40367;0.39779;0.26276;0.10014;163.721;169.858;147.155;0.0009208;0.0009208;0.0009208
10;129.415;137.543;151.817;124.492;0.48472;0.39975;0.328;0.17012;144.786;15.013;136.182;0.0009109;0.0009109;0.0009109
11;142.43;134.114;147.224;123.551;0.40395;0.43643;0.26127;0.08832;170.963;177.299;157.687;0.000901;0.000901;0.000901
12;155.284;13.538;143.963;123.496;0.30435;0.45821;0.35507;0.23153;117.576;13.844;121.648;0.0008911;0.0008911;0.0008911
13;167.789;133.655;143.592;12.361;0.42995;0.40016;0.28533;0.09012;188.595;161.797;168.617;0.0008812;0.0008812;0.0008812
14;181.393;127.501;135.299;119.253;0.29912;0.51916;0.36629;0.19202;143.223;136.378;134.837;0.0008713;0.0008713;0.0008713
15;194.001;127.737;139.267;121.054;0.48287;0.41517;0.33533;0.2074;122.839;136.602;125.831;0.0008614;0.0008614;0.0008614
16;206.352;1.279;13.647;120.285;0.50343;0.47691;0.39354;0.21783;14.275;130.194;136.659;0.0008515;0.0008515;0.0008515
17;219.825;128.133;133.537;121.153;0.49698;0.45028;0.37342;0.22092;123.862;130.434;125.678;0.0008416;0.0008416;0.0008416
18;232.899;131.147;136.228;122.526;0.32363;0.53499;0.34511;0.20522;125.953;135.523;125.391;0.0008317;0.0008317;0.0008317
19;245.896;124.392;129.227;119.863;0.50258;0.49098;0.40392;0.22358;13.964;130.664;13.537;0.0008218;0.0008218;0.0008218
20;258.537;12.399;12.858;118.647;0.35037;0.46445;0.39522;0.248;120.557;130.633;123.609;0.0008119;0.0008119;0.0008119
21;271.108;124.525;124.348;119.191;0.4889;0.34742;0.29697;0.1332;154.269;13.898;14.552;0.000802;0.000802;0.000802
