epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;169.674;217.035;358.776;168.381;0.39689;0.09967;0.06477;0.0261;205.376;279.388;150.773;0.000329897;0.000329897;0.000329897
2;29.829;165.852;223.288;132.638;0.30772;0.29989;0.14033;0.0692;161.196;233.616;13.846;0.000656664;0.000656664;0.000656664
3;420.468;158.212;196.726;134.207;0.17106;0.27837;0.18625;0.08233;156.614;217.744;143.141;0.000976832;0.000976832;0.000976832
4;544.254;148.858;178.294;13.121;0.293;0.2165;0.10195;0.0411;246.452;298.029;232.371;0.0009703;0.0009703;0.0009703
5;663.353;145.973;172.905;129.802;0.34279;0.38071;0.25811;0.15175;137.375;184.438;132.551;0.0009604;0.0009604;0.0009604
6;78.205;143.178;167.961;128.325;0.43479;0.39811;0.28406;0.12939;154.145;187.114;137.963;0.0009505;0.0009505;0.0009505
7;90.217;140.345;160.543;128.782;0.4075;0.3942;0.28621;0.15151;144.465;179.152;139.242;0.0009406;0.0009406;0.0009406
8;101.88;136.526;155.511;125.726;0.30535;0.4202;0.32513;0.17557;134.627;160.487;13.165;0.0009307;0.0009307;0.0009307
9;113.744;137.193;151.598;126.103;0.42597;0.4144;0.33562;0.18943;142.197;1.519;135.891;0.0009208;0.0009208;0.0009208
10;125.832;13.554;148.435;126.348;0.45855;0.43749;0.34009;0.18043;14.108;159.144;135.832;0.0009109;0.0009109;0.0009109
11;137.593;134.273;145.763;124.644;0.45443;0.45502;0.34807;0.2018;123.772;146.119;125.021;0.000901;0.000901;0.000901
12;149.963;134.517;146.271;124.431;0.47961;0.38915;0.32896;0.1841;139.309;161.002;132.836;0.0008911;0.0008911;0.0008911
13;161.944;130.285;141.753;123.348;0.39343;0.41609;0.27571;0.09844;178.984;172.239;173.343;0.0008812;0.0008812;0.0008812
14;173.801;133.785;143.538;125.169;0.4622;0.427;0.36494;0.23261;115.069;139.149;122.596;0.0008713;0.0008713;0.0008713
15;185.645;131.478;139.493;124.096;0.46964;0.46117;0.36858;0.22594;122.891;143.275;126.783;0.0008614;0.0008614;0.0008614
16;197.414;126.417;137.102;121.299;0.45355;0.44786;0.36333;0.22431;124.618;148.135;127.193;0.0008515;0.0008515;0.0008515
17;209.341;127.381;130.456;121.787;0.35785;0.53217;0.36768;0.24031;119.617;140.319;125.183;0.0008416;0.0008416;0.0008416
18;221.062;129.648;134.618;123.855;0.32884;0.47632;0.37908;0.17384;146.616;144.371;14.304;0.0008317;0.0008317;0.0008317
19;232.769;126.028;131.364;122.031;0.49018;0.45013;0.40636;0.22916;134.219;139.633;133.073;0.0008218;0.0008218;0.0008218
20;244.705;122.815;126.631;120.818;0.44535;0.43522;0.32218;0.14669;144.665;16.543;144.717;0.0008119;0.0008119;0.0008119
21;256.706;122.599;124.431;119.845;0.27849;0.5139;0.33013;0.15132;151.981;157.611;145.755;0.000802;0.000802;0.000802
22;268.834;125.031;125.581;121.017;0.52903;0.41508;0.41984;0.23092;14.168;139.124;141.237;0.0007921;0.0007921;0.0007921
23;280.861;125.228;124.746;120.203;0.46859;0.48652;0.38472;0.23509;130.095;133.249;129.839;0.0007822;0.0007822;0.0007822
24;292.837;122.657;123.944;12.024;0.46605;0.51342;0.41615;0.16963;164.088;130.572;159.046;0.0007723;0.0007723;0.0007723
25;305.063;122.461;121.499;119.573;0.52421;0.39679;0.37427;0.1886;143.468;141.125;141.165;0.0007624;0.0007624;0.0007624
26;317.18;119.412;119.281;118.525;0.52023;0.4596;0.45264;0.25591;128.992;123.979;132.152;0.0007525;0.0007525;0.0007525
27;329.474;125.156;123.741;120.635;0.40103;0.52967;0.45188;0.27557;12.417;13.191;128.181;0.0007426;0.0007426;0.0007426
28;341.387;12.038;11.907;118.893;0.53415;0.43398;0.45604;0.29696;114.882;125.937;122.845;0.0007327;0.0007327;0.0007327
29;353.476;120.944;118.365;119.736;0.45416;0.50158;0.42343;0.25762;122.443;124.408;126.253;0.0007228;0.0007228;0.0007228
30;365.496;118.081;117.743;117.984;0.52767;0.46916;0.43325;0.25988;12.503;132.905;127.749;0.0007129;0.0007129;0.0007129
31;377.427;119.762;116.579;117.956;0.57723;0.45707;0.44587;0.25034;129.823;124.323;13.315;0.000703;0.000703;0.000703
32;389.471;121.684;116.676;119.425;0.43724;0.5335;0.45918;0.28825;11.798;118.687;125.098;0.0006931;0.0006931;0.0006931
33;401.426;12.285;116.538;121.681;0.4285;0.55035;0.47881;0.2883;119.555;118.033;125.507;0.0006832;0.0006832;0.0006832
34;413.365;119.853;115.767;119.163;0.56776;0.48938;0.49577;0.30303;118.745;120.849;125.469;0.0006733;0.0006733;0.0006733
