epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;152.153;215.654;356.104;168.651;0.54558;0.08596;0.04729;0.01863;197.312;281.937;159.089;0.000329897;0.000329897;0.000329897
2;288.285;163.792;226.612;133.579;0.32874;0.34844;0.15917;0.07459;166.674;223.452;153.625;0.000656664;0.000656664;0.000656664
3;419.221;157.901;19.714;13.556;0.16808;0.27343;0.15691;0.07138;153.635;237.135;143.383;0.000976832;0.000976832;0.000976832
4;542.214;147.096;180.303;130.646;0.4022;0.38932;0.26231;0.1511;139.117;173.314;134.604;0.0009703;0.0009703;0.0009703
5;665.832;147.838;17.503;130.951;0.29366;0.24079;0.13339;0.04641;185.409;214.149;158.969;0.0009604;0.0009604;0.0009604
6;789.968;140.288;164.735;127.588;0.45512;0.379;0.30748;0.1644;141.979;166.154;136.897;0.0009505;0.0009505;0.0009505
7;919.213;141.959;165.249;129.193;0.48327;0.31566;0.29852;0.15573;141.054;174.987;131.804;0.0009406;0.0009406;0.0009406
8;104.292;137.016;15.641;125.626;0.35816;0.25744;0.17251;0.06117;181.953;218.001;157.711;0.0009307;0.0009307;0.0009307
9;116.784;139.366;15.482;128.211;0.45921;0.40403;0.32386;0.14255;159.398;163.052;148.909;0.0009208;0.0009208;0.0009208
10;129.082;138.534;155.587;127.196;0.48326;0.47402;0.37598;0.22843;123.965;139.114;1.258;0.0009109;0.0009109;0.0009109
11;141.453;134.082;146.977;125.208;0.45737;0.42638;0.32548;0.11149;171.765;1.754;15.452;0.000901;0.000901;0.000901
12;153.775;13.774;148.285;127.888;0.25889;0.51804;0.31482;0.1451;154.451;159.079;144.018;0.0008911;0.0008911;0.0008911
13;166.04;13.198;143.281;124.093;0.46287;0.4052;0.33923;0.16766;146.129;139.554;139.728;0.0008812;0.0008812;0.0008812
14;178.27;130.381;140.074;123.144;0.31967;0.4814;0.36936;0.23837;124.212;132.557;126.734;0.0008713;0.0008713;0.0008713
15;190.527;132.121;138.696;124.253;0.51706;0.44359;0.39962;0.24349;122.383;134.275;125.112;0.0008614;0.0008614;0.0008614
16;202.695;131.004;138.712;12.436;0.29506;0.4469;0.29244;0.18205;133.828;156.118;13.388;0.0008515;0.0008515;0.0008515
17;215.193;131.241;138.889;123.786;0.52144;0.45275;0.40879;0.26184;112.274;12.572;120.287;0.0008416;0.0008416;0.0008416
18;227.633;128.364;134.567;122.918;0.47909;0.41638;0.34715;0.15095;162.411;161.047;153.991;0.0008317;0.0008317;0.0008317
19;239.792;125.173;130.968;121.691;0.47027;0.45514;0.34203;0.19602;129.457;136.786;130.758;0.0008218;0.0008218;0.0008218
20;252.064;125.153;130.459;121.272;0.51715;0.44844;0.38687;0.19231;137.266;134.651;135.628;0.0008119;0.0008119;0.0008119
21;264.23;123.679;129.189;121.575;0.32899;0.57932;0.40898;0.25887;121.541;125.394;126.923;0.000802;0.000802;0.000802
22;276.502;125.064;125.431;120.813;0.53226;0.47344;0.4223;0.23682;130.269;118.746;133.913;0.0007921;0.0007921;0.0007921
23;288.72;124.061;12.497;120.381;0.43925;0.55631;0.44378;0.30036;109.022;113.561;118.476;0.0007822;0.0007822;0.0007822
24;300.812;12.782;128.252;122.773;0.55456;0.45972;0.41959;0.25084;132.304;126.366;131.753;0.0007723;0.0007723;0.0007723
25;313.114;121.801;125.221;119.313;0.54821;0.47004;0.41498;0.23936;12.913;12.447;130.556;0.0007624;0.0007624;0.0007624
26;325.196;126.473;126.513;122.259;0.55504;0.44286;0.44599;0.25389;134.179;124.266;133.785;0.0007525;0.0007525;0.0007525
27;337.522;123.651;122.631;119.205;0.52931;0.48257;0.43999;0.23497;125.993;123.796;12.787;0.0007426;0.0007426;0.0007426
28;349.802;120.638;121.282;119.217;0.58804;0.49638;0.46038;0.29221;120.128;115.965;125.436;0.0007327;0.0007327;0.0007327
29;362.038;12.072;120.352;120.057;0.54262;0.45579;0.42699;0.2152;140.004;127.179;139.535;0.0007228;0.0007228;0.0007228
30;374.426;120.367;119.507;119.082;0.45382;0.55978;0.45836;0.30075;108.537;106.517;119.648;0.0007129;0.0007129;0.0007129
31;386.992;121.083;118.249;119.351;0.56739;0.48318;0.44483;0.2601;126.231;117.752;128.558;0.000703;0.000703;0.000703
32;399.123;119.047;115.539;118.339;0.43652;0.52759;0.43583;0.20763;148.218;121.033;145.506;0.0006931;0.0006931;0.0006931
33;411.268;117.615;115.785;117.873;0.57402;0.45471;0.44416;0.27754;11.207;116.097;120.293;0.0006832;0.0006832;0.0006832
34;423.549;11.501;115.479;11.659;0.49543;0.33792;0.28912;0.09954;209.358;183.192;205.506;0.0006733;0.0006733;0.0006733
35;435.743;115.799;11.369;116.905;0.59141;0.50716;0.48171;0.28311;130.192;111.574;132.155;0.0006634;0.0006634;0.0006634
36;447.893;117.556;114.507;117.978;0.59128;0.4558;0.47653;0.3176;106.314;108.478;118.331;0.0006535;0.0006535;0.0006535
37;460.237;115.471;112.823;1.168;0.43972;0.55489;0.45602;0.24471;129.291;1.148;132.373;0.0006436;0.0006436;0.0006436
38;472.548;113.358;111.728;115.422;0.57477;0.50218;0.47273;0.28913;119.599;111.244;125.804;0.0006337;0.0006337;0.0006337
39;484.826;113.826;111.425;1.159;0.62688;0.46891;0.48903;0.26224;13.307;110.155;135.235;0.0006238;0.0006238;0.0006238
40;497.277;114.863;10.877;117.535;0.59137;0.49656;0.48147;0.22969;145.075;114.867;145.351;0.0006139;0.0006139;0.0006139
41;509.748;114.965;107.989;116.135;0.57716;0.52191;0.5231;0.32035;114.448;102.506;123.367;0.000604;0.000604;0.000604
42;522.537;114.922;107.474;116.688;0.45632;0.55069;0.5114;0.30395;117.844;105.394;124.722;0.0005941;0.0005941;0.0005941
43;535.121;113.226;107.108;116.438;0.61725;0.50599;0.52185;0.32242;112.987;105.212;121.569;0.0005842;0.0005842;0.0005842
44;547.6;112.415;108.407;115.231;0.40947;0.51698;0.46428;0.25951;123.774;106.552;128.759;0.0005743;0.0005743;0.0005743
45;559.969;114.379;105.981;115.864;0.42242;0.53365;0.48124;0.24776;137.086;107.115;138.957;0.0005644;0.0005644;0.0005644
46;572.592;113.181;106.118;115.907;0.44136;0.52563;0.47631;0.30344;11.395;103.283;122.893;0.0005545;0.0005545;0.0005545
47;585.15;110.959;106.202;114.874;0.50082;0.55587;0.51534;0.29893;122.101;106.619;129.277;0.0005446;0.0005446;0.0005446
48;597.536;112.429;106.467;114.966;0.64284;0.42313;0.45969;0.16261;177.214;135.223;180.101;0.0005347;0.0005347;0.0005347
49;610.118;115.652;104.248;11.694;0.53571;0.55681;0.55957;0.38888;102.439;0.96127;116.416;0.0005248;0.0005248;0.0005248
50;623.391;112.353;102.763;115.062;0.53711;0.52695;0.53248;0.31422;121.994;101.897;127.826;0.0005149;0.0005149;0.0005149
51;635.71;1.126;104.712;115.663;0.56121;0.4929;0.50605;0.28086;123.624;104.982;129.245;0.000505;0.000505;0.000505
52;647.966;114.768;103.783;117.606;0.54359;0.5238;0.5305;0.3002;125.054;103.321;129.823;0.0004951;0.0004951;0.0004951
53;660.315;111.921;101.776;115.107;0.53619;0.52698;0.52716;0.28174;134.884;105.206;138.158;0.0004852;0.0004852;0.0004852
54;672.558;110.385;102.009;114.992;0.53995;0.54507;0.55702;0.3648;112.549;0.99967;122.744;0.0004753;0.0004753;0.0004753
55;685.047;110.944;101.431;114.746;0.49885;0.52903;0.49886;0.24162;141.792;109.267;143.461;0.0004654;0.0004654;0.0004654
56;697.56;110.411;10.463;113.809;0.45209;0.58913;0.53154;0.26166;138.921;105.728;141.687;0.0004555;0.0004555;0.0004555
57;710.51;110.745;101.025;114.346;0.51352;0.56623;0.56123;0.36086;114.558;0.96014;122.772;0.0004456;0.0004456;0.0004456
58;723;109.003;100.301;113.014;0.57768;0.57264;0.58962;0.3739;111.038;0.96025;121.304;0.0004357;0.0004357;0.0004357
59;735.689;109.419;100.176;114.639;0.48269;0.59102;0.57313;0.35974;108.001;0.9741;119.062;0.0004258;0.0004258;0.0004258
60;748.029;109.153;100.636;113.934;0.51204;0.57266;0.57911;0.35165;118.507;0.9817;12.543;0.0004159;0.0004159;0.0004159
61;760.648;107.422;0.98822;113.624;0.58493;0.5488;0.57047;0.37881;109.329;0.95855;120.311;0.000406;0.000406;0.000406
62;773.193;109.477;0.9866;114.131;0.55953;0.59168;0.60055;0.35974;115.918;0.95392;124.386;0.0003961;0.0003961;0.0003961
63;785.645;107.123;0.98665;113.098;0.62455;0.51428;0.57426;0.36362;107.772;0.95513;11.898;0.0003862;0.0003862;0.0003862
64;798.222;110.423;0.98432;11.445;0.50204;0.59217;0.58074;0.29843;132.899;0.9901;137.758;0.0003763;0.0003763;0.0003763
65;810.592;110.476;0.97333;11.491;0.48932;0.61797;0.57662;0.33071;116.834;0.94596;12.506;0.0003664;0.0003664;0.0003664
66;822.804;107.267;0.97768;113.137;0.55008;0.6175;0.60718;0.37479;111.917;0.93475;122.409;0.0003565;0.0003565;0.0003565
67;834.989;106.697;0.96638;112.761;0.57342;0.57537;0.60146;0.36514;114.513;0.94503;124.149;0.0003466;0.0003466;0.0003466
