epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.511,2.1249,3.23253,1.74493,0.60467,0.13584,0.10776,0.04458,1.73687,2.70466,1.4305,0.000329897,0.000329897,0.000329897
2,313.004,1.66464,2.14839,1.37117,0.32811,0.3036,0.1996,0.1024,1.50177,2.01196,1.34002,0.000656664,0.000656664,0.000656664
3,454.277,1.55192,1.85986,1.32058,0.44054,0.11917,0.10349,0.03392,1.83944,2.39665,1.45591,0.000976832,0.000976832,0.000976832
4,591.219,1.51256,1.81414,1.3048,0.42226,0.38595,0.29558,0.16901,1.30503,1.65374,1.24368,0.0009703,0.0009703,0.0009703
5,728.527,1.50126,1.75416,1.29963,0.40624,0.36263,0.26449,0.14135,1.3869,1.79392,1.2471,0.0009604,0.0009604,0.0009604
6,865.547,1.42284,1.64388,1.26663,0.43679,0.34041,0.28834,0.16068,1.32017,1.77323,1.22474,0.0009505,0.0009505,0.0009505
7,1002.42,1.41086,1.63415,1.26071,0.26458,0.41597,0.27103,0.14394,1.31919,1.70921,1.23832,0.0009406,0.0009406,0.0009406
8,1138.53,1.39126,1.57733,1.24426,0.33852,0.49635,0.30357,0.14626,1.47574,1.79689,1.28745,0.0009307,0.0009307,0.0009307
9,1275.4,1.36559,1.54553,1.24337,0.25331,0.49525,0.28095,0.12857,1.44856,1.69742,1.30566,0.0009208,0.0009208,0.0009208
10,1410.69,1.37684,1.55459,1.25033,0.50332,0.44275,0.36227,0.21791,1.18352,1.4213,1.16347,0.0009109,0.0009109,0.0009109
11,1547.55,1.34514,1.48094,1.22647,0.34058,0.42421,0.3172,0.17415,1.40774,1.48372,1.27641,0.000901,0.000901,0.000901
12,1682.83,1.3456,1.46784,1.22284,0.50747,0.47115,0.40817,0.26084,1.19481,1.33662,1.16334,0.0008911,0.0008911,0.0008911
13,1818.84,1.3533,1.44144,1.22354,0.42563,0.49112,0.30054,0.16482,1.30642,1.69803,1.21837,0.0008812,0.0008812,0.0008812
14,1953.52,1.33002,1.41421,1.21547,0.41127,0.46833,0.38923,0.20203,1.3558,1.4026,1.23739,0.0008713,0.0008713,0.0008713
15,2090.11,1.32217,1.36943,1.21103,0.34337,0.51846,0.41131,0.25223,1.16765,1.28567,1.15757,0.0008614,0.0008614,0.0008614
16,2225.45,1.30966,1.38302,1.21302,0.56188,0.40328,0.39218,0.24078,1.25686,1.40211,1.21791,0.0008515,0.0008515,0.0008515
17,2360.57,1.29162,1.35349,1.20649,0.52343,0.43793,0.38423,0.23676,1.19774,1.54686,1.16668,0.0008416,0.0008416,0.0008416
18,2496.68,1.3014,1.38622,1.20465,0.44405,0.4637,0.41082,0.23487,1.22524,1.28062,1.18385,0.0008317,0.0008317,0.0008317
19,2632.49,1.29403,1.31149,1.19707,0.3964,0.47918,0.39763,0.23192,1.23042,1.33615,1.17533,0.0008218,0.0008218,0.0008218
20,2767.35,1.27064,1.29602,1.19033,0.5468,0.49639,0.4483,0.28704,1.16426,1.23724,1.15809,0.0008119,0.0008119,0.0008119
21,2903.62,1.29303,1.31801,1.19834,0.30534,0.49744,0.32332,0.17725,1.41735,1.48741,1.30374,0.000802,0.000802,0.000802
22,3038.39,1.24218,1.29803,1.18567,0.34317,0.53752,0.43875,0.27996,1.16153,1.21272,1.15123,0.0007921,0.0007921,0.0007921
23,3174.16,1.24018,1.25821,1.18439,0.58651,0.47369,0.4417,0.29274,1.13823,1.22245,1.16562,0.0007822,0.0007822,0.0007822
24,3309.73,1.25061,1.22517,1.17617,0.61058,0.45985,0.45173,0.27792,1.24661,1.21051,1.19079,0.0007723,0.0007723,0.0007723
25,3444.84,1.24357,1.25045,1.1757,0.55605,0.46536,0.43696,0.26959,1.20285,1.22549,1.18147,0.0007624,0.0007624,0.0007624
26,3579.6,1.23505,1.23006,1.18146,0.4301,0.53157,0.41158,0.25921,1.18151,1.22485,1.17333,0.0007525,0.0007525,0.0007525
27,3714.81,1.27689,1.24159,1.19818,0.48297,0.5484,0.46328,0.22986,1.50928,1.24541,1.37805,0.0007426,0.0007426,0.0007426
28,3849.92,1.2854,1.23288,1.20452,0.61311,0.47581,0.48162,0.31341,1.10199,1.15701,1.1326,0.0007327,0.0007327,0.0007327
29,3984.23,1.22461,1.21661,1.17518,0.52893,0.45711,0.41568,0.25755,1.15008,1.25312,1.1683,0.0007228,0.0007228,0.0007228
30,4120.34,1.21693,1.20991,1.16902,0.43939,0.54696,0.51287,0.33376,1.12473,1.12268,1.1509,0.0007129,0.0007129,0.0007129
31,4255.44,1.23863,1.18784,1.17755,0.43211,0.49325,0.45181,0.27012,1.24488,1.29875,1.21499,0.000703,0.000703,0.000703
32,4391.36,1.21938,1.21451,1.17186,0.33144,0.52731,0.40917,0.20372,1.46826,1.30602,1.36322,0.0006931,0.0006931,0.0006931
33,4525.95,1.20324,1.18063,1.16265,0.54745,0.51414,0.47439,0.26353,1.38025,1.23473,1.29657,0.0006832,0.0006832,0.0006832
34,4661.59,1.18896,1.16628,1.15097,0.44605,0.58228,0.52702,0.29243,1.22808,1.1212,1.20951,0.0006733,0.0006733,0.0006733
35,4797.58,1.21988,1.15174,1.17024,0.44206,0.62107,0.50152,0.33027,1.1383,1.08582,1.14747,0.0006634,0.0006634,0.0006634
36,4932.72,1.19497,1.14463,1.14599,0.58673,0.52259,0.50027,0.28592,1.33042,1.13263,1.28237,0.0006535,0.0006535,0.0006535
37,5068.19,1.19227,1.13908,1.1587,0.46285,0.5431,0.47123,0.21148,1.52966,1.31996,1.42347,0.0006436,0.0006436,0.0006436
38,5203.09,1.17732,1.15068,1.15169,0.49772,0.53908,0.49529,0.3241,1.11365,1.09493,1.14171,0.0006337,0.0006337,0.0006337
39,5339.75,1.18984,1.11849,1.14553,0.62035,0.50742,0.52732,0.34817,1.10016,1.11796,1.12744,0.0006238,0.0006238,0.0006238
40,5475.8,1.18032,1.11395,1.14656,0.51435,0.54089,0.52959,0.31333,1.22788,1.07426,1.2059,0.0006139,0.0006139,0.0006139
41,5611.96,1.17472,1.10545,1.14441,0.56649,0.5578,0.53634,0.29593,1.2889,1.1073,1.24987,0.000604,0.000604,0.000604
42,5748.51,1.18581,1.12986,1.14445,0.51826,0.57984,0.56648,0.35136,1.1445,1.05947,1.16489,0.0005941,0.0005941,0.0005941
43,5884.21,1.1645,1.08897,1.13951,0.56835,0.59931,0.5911,0.3959,1.05065,0.99832,1.10333,0.0005842,0.0005842,0.0005842
44,6019.41,1.18698,1.08112,1.15883,0.55148,0.58577,0.58364,0.38462,1.08681,1.0287,1.131,0.0005743,0.0005743,0.0005743
45,6155.57,1.16515,1.06626,1.13295,0.48604,0.59549,0.54536,0.33728,1.17769,1.05219,1.1714,0.0005644,0.0005644,0.0005644
46,6291.93,1.1578,1.06858,1.13444,0.43236,0.64214,0.52376,0.31433,1.2342,1.08054,1.21206,0.0005545,0.0005545,0.0005545
47,6426.57,1.17731,1.07747,1.15351,0.52484,0.57431,0.54383,0.30467,1.30925,1.10883,1.26334,0.0005446,0.0005446,0.0005446
48,6560.9,1.17702,1.07169,1.15784,0.55858,0.55478,0.5955,0.38952,1.0828,1.01455,1.11815,0.0005347,0.0005347,0.0005347
49,6696.1,1.16435,1.05636,1.13787,0.52718,0.60673,0.58747,0.35566,1.22385,1.0236,1.19942,0.0005248,0.0005248,0.0005248
50,6831.2,1.1396,1.05147,1.13845,0.55544,0.57136,0.5826,0.34432,1.25029,1.04923,1.22305,0.0005149,0.0005149,0.0005149
51,6966.73,1.13055,1.03337,1.11746,0.57112,0.61244,0.62649,0.42004,1.04293,0.95523,1.10645,0.000505,0.000505,0.000505
52,7102.36,1.137,1.05886,1.1232,0.54302,0.60192,0.58276,0.3531,1.1887,1.03962,1.18225,0.0004951,0.0004951,0.0004951
53,7238.08,1.14381,1.05189,1.13001,0.47096,0.61751,0.57248,0.3286,1.25063,1.04355,1.22331,0.0004852,0.0004852,0.0004852
54,7373.9,1.15027,1.0213,1.13102,0.6085,0.58237,0.62083,0.40185,1.12772,0.98709,1.15066,0.0004753,0.0004753,0.0004753
55,7509.01,1.13297,1.03366,1.12404,0.53069,0.60865,0.60385,0.39012,1.06401,0.98595,1.12007,0.0004654,0.0004654,0.0004654
56,7643.38,1.12931,1.04521,1.1343,0.5358,0.61346,0.60454,0.39826,1.05694,0.98613,1.11167,0.0004555,0.0004555,0.0004555
57,7778.71,1.13052,1.01331,1.12539,0.50969,0.58807,0.56807,0.37137,1.12445,0.97657,1.15382,0.0004456,0.0004456,0.0004456
58,7914.64,1.10306,0.98958,1.11451,0.56001,0.6138,0.61689,0.34017,1.2977,0.99474,1.27022,0.0004357,0.0004357,0.0004357
59,8050.95,1.12604,1.01201,1.12369,0.57609,0.62462,0.62638,0.41823,1.05433,0.93927,1.11409,0.0004258,0.0004258,0.0004258
60,8187.45,1.1173,0.98488,1.1129,0.60094,0.63648,0.63857,0.43645,1.01013,0.91087,1.08659,0.0004159,0.0004159,0.0004159
61,8323.8,1.10357,0.98039,1.11496,0.5451,0.62408,0.62172,0.39152,1.12246,0.9626,1.14926,0.000406,0.000406,0.000406
