epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.965,2.1106,3.20316,1.75013,0.71431,0.11253,0.11606,0.05962,1.58979,2.73798,1.34767,0.000329897,0.000329897,0.000329897
2,312.31,1.65946,2.11116,1.36878,0.3508,0.33395,0.22656,0.10288,1.47832,2.09261,1.34014,0.000656664,0.000656664,0.000656664
3,469.509,1.52905,1.84247,1.32791,0.42432,0.38549,0.24124,0.09608,1.67675,2.13045,1.55031,0.000976832,0.000976832,0.000976832
4,617.503,1.51662,1.8318,1.31007,0.22796,0.33656,0.23194,0.11683,1.46308,1.97314,1.28845,0.0009703,0.0009703,0.0009703
5,757.934,1.45031,1.70629,1.28415,0.15509,0.20189,0.13692,0.05183,1.95942,2.17961,1.91525,0.0009604,0.0009604,0.0009604
6,894.556,1.44244,1.65556,1.27851,0.25508,0.38225,0.29068,0.17269,1.38073,1.79509,1.29801,0.0009505,0.0009505,0.0009505
7,1029.91,1.42951,1.66335,1.27339,0.46024,0.38554,0.30071,0.16365,1.35811,1.76192,1.27494,0.0009406,0.0009406,0.0009406
8,1171.05,1.40416,1.61599,1.24494,0.44039,0.4442,0.33993,0.20941,1.22742,1.62563,1.20748,0.0009307,0.0009307,0.0009307
9,1320.58,1.39795,1.54961,1.24654,0.43238,0.35756,0.30017,0.16982,1.41939,1.73242,1.32585,0.0009208,0.0009208,0.0009208
10,1462.92,1.34875,1.51919,1.23558,0.25915,0.45755,0.29246,0.16639,1.3131,1.62352,1.23717,0.0009109,0.0009109,0.0009109
11,1599.52,1.34149,1.48448,1.22345,0.44529,0.42895,0.32646,0.17981,1.41397,1.77655,1.34149,0.000901,0.000901,0.000901
12,1736.6,1.34068,1.48164,1.23156,0.42342,0.44558,0.32149,0.16802,1.40423,1.54759,1.31333,0.0008911,0.0008911,0.0008911
13,1872.93,1.34098,1.4571,1.22299,0.39204,0.49842,0.4077,0.22898,1.27574,1.52013,1.24109,0.0008812,0.0008812,0.0008812
14,2015.14,1.34589,1.41613,1.22418,0.47375,0.43958,0.37039,0.23517,1.23728,1.46435,1.19085,0.0008713,0.0008713,0.0008713
15,2168.8,1.30608,1.35702,1.19655,0.45666,0.47152,0.34311,0.20057,1.30552,1.49928,1.24967,0.0008614,0.0008614,0.0008614
16,2309.74,1.29805,1.37712,1.1955,0.34799,0.49164,0.38651,0.2442,1.19394,1.38014,1.1767,0.0008515,0.0008515,0.0008515
17,2445.58,1.29401,1.3403,1.2022,0.51503,0.46703,0.38255,0.17257,1.61483,1.51243,1.4648,0.0008416,0.0008416,0.0008416
18,2580.22,1.30181,1.33786,1.20314,0.27749,0.47763,0.35185,0.19335,1.34129,1.44221,1.26108,0.0008317,0.0008317,0.0008317
19,2715.78,1.27747,1.30209,1.19391,0.54656,0.4557,0.43305,0.2604,1.25796,1.33468,1.22997,0.0008218,0.0008218,0.0008218
20,2856.91,1.27384,1.29298,1.18682,0.36572,0.46412,0.39824,0.2031,1.52007,1.46811,1.38041,0.0008119,0.0008119,0.0008119
21,3006.06,1.25978,1.27239,1.18356,0.28357,0.49653,0.35771,0.20454,1.30128,1.39196,1.23681,0.000802,0.000802,0.000802
22,3148.74,1.26779,1.27114,1.19106,0.56563,0.45744,0.44203,0.25747,1.25452,1.3441,1.24,0.0007921,0.0007921,0.0007921
23,3292.1,1.27223,1.281,1.19343,0.58022,0.4115,0.37736,0.23422,1.18134,1.35575,1.18084,0.0007822,0.0007822,0.0007822
24,3436.89,1.30822,1.29686,1.2208,0.58259,0.45204,0.45789,0.28761,1.172,1.30593,1.17713,0.0007723,0.0007723,0.0007723
25,3576.11,1.24171,1.25636,1.17996,0.39559,0.48397,0.42847,0.27499,1.19456,1.31684,1.19512,0.0007624,0.0007624,0.0007624
26,3711.88,1.2266,1.24436,1.16978,0.54671,0.44924,0.39298,0.24216,1.27939,1.50861,1.22981,0.0007525,0.0007525,0.0007525
27,3847.16,1.22379,1.22504,1.17309,0.3625,0.54064,0.42783,0.26718,1.17426,1.25226,1.18473,0.0007426,0.0007426,0.0007426
28,3982.93,1.25578,1.22147,1.17739,0.4051,0.48767,0.42614,0.21543,1.51451,1.32726,1.40224,0.0007327,0.0007327,0.0007327
29,4119.54,1.24121,1.19881,1.17059,0.41412,0.43596,0.41579,0.26117,1.2071,1.32936,1.20948,0.0007228,0.0007228,0.0007228
30,4255.27,1.24033,1.176,1.17832,0.43396,0.54259,0.46993,0.31214,1.12418,1.23304,1.15684,0.0007129,0.0007129,0.0007129
31,4391.6,1.20937,1.17411,1.15853,0.40731,0.49008,0.44994,0.26899,1.26117,1.32946,1.22728,0.000703,0.000703,0.000703
32,4527.55,1.22637,1.17236,1.16247,0.34863,0.46599,0.36254,0.19257,1.42105,1.35123,1.3254,0.0006931,0.0006931,0.0006931
33,4662.39,1.21174,1.15749,1.16311,0.39852,0.52831,0.44056,0.27039,1.24827,1.22021,1.21874,0.0006832,0.0006832,0.0006832
